序号,公告标题,发布日期,跳转链接
['10'],['广州市公安局荔湾区分局荔湾区公共安全与管理智能视频系统升级改造项目（原荔湾区第二轮建设部分）咨询设计服务项目(CZ2020-1884)招标公告'],['2020-12-10'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/765200.jhtml']
['1'],['2021-2022年度广州市政府采购一般会议（三类会议）定点服务资格采购项目(CZ2020-1841)招标公告'],['2020-12-10'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/765195.jhtml']
['2'],['广州市第二中学南沙天元学校物业管理服务采购项目(CZ2020-1951)招标公告'],['2020-12-10'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/765137.jhtml']
['3'],['中国人民银行广州分行机关（1、3号院）食堂生鲜食材配送服务采购项目(CZ2020-1634)招标公告'],['2020-12-09'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/765099.jhtml']
['4'],['粤港澳大湾区（广东）创新创业孵化基地物业管理服务项目采购(CZ2020-2011)招标公告'],['2020-12-09'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/765076.jhtml']
['5'],['广州市轻工职业学校两校区保安宿管服务采购(CZ2020-2034)招标公告'],['2020-12-09'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/765058.jhtml']
['6'],['广州市花都区政务服务数据管理局厨房设备采购项目(CJ2020-0055)竞争性谈判公告'],['2020-12-09'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/765041.jhtml']
['7'],['广州市白云区政务服务数据管理局广州市白云区政务服务中心2021-2023年物业管理采购项目(CZ2020-1989)招标公告'],['2020-12-09'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/765018.jhtml']
['8'],['广州市荔湾区口腔医院2020年信息化网络安全建设及运行维护采购项目(CZ2020-1932)招标公告'],['2020-12-09'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/765011.jhtml']
['9'],['广州市从化区市容环境卫生管理所从化鼓楼济渡广场、环卫公厕、北星路、从化大道保洁服务采购项目(CZ2020-1889)招标公告'],['2020-12-09'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/764997.jhtml']
['10'],['广州市天河区卫生健康局天河区母婴安康生育综合保障服务采购项目(CD2020-0119)单一来源采购公告'],['2020-12-09'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/764993.jhtml']
['1'],['广州市医疗救助综合平台（四期）采购项目(CC2020-0217)竞争性磋商公告'],['2020-12-09'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/764983.jhtml']
['2'],['广州市公安局预审监管支队食堂食材配送服务采购项目(CZ2020-1768)招标公告'],['2020-12-09'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/764980.jhtml']
['3'],['广州番禺职业技术学院网络构建实训室项目(CZ2020-0939)招标公告'],['2020-12-09'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/764964.jhtml']
['4'],['中国共产党广州市海珠区委党校2021-2022年物管服务采购项目(CZ2020-1992)招标公告'],['2020-12-09'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/764961.jhtml']
['5'],['广州市越秀区政务服务中心大堂场地租赁采购项目(CD2020-0114)单一来源采购公告'],['2020-12-09'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/764959.jhtml']
['6'],['广州大学2021—2022年保安服务采购项目(CZ2020-1764)招标公告'],['2020-12-08'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/764878.jhtml']
['7'],['广州市城市建设职业学校2021-2022年物业管理服务项目(CZ2020-2031)招标公告'],['2020-12-08'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/764855.jhtml']
['8'],['广州市公安局南沙区分局珠江派出所、南北台派出所弱电智能化建设采购项目(CZ2020-2008)招标公告'],['2020-12-08'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/764853.jhtml']
['9'],['广州市公安局南沙区分局2020年社会治安视频建设咨询设计服务采购项目(CZ2020-2006)招标公告'],['2020-12-08'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/764851.jhtml']
['10'],['广州市白云山雕塑景区管理中心保安服务采购项目(CZ2020-1962)招标公告'],['2020-12-08'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/764850.jhtml']
['1'],['2021-2022年广州市政府采购信息技术运行维护服务定点服务资格采购项目(CZ2020-2029)招标公告'],['2020-12-08'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/764844.jhtml']
['2'],['广州市从化区“仁里集”共建共治共享一键通云平台2020年扩面提质项目（三期）(CC2020-0230)竞争性磋商公告'],['2020-12-08'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/764827.jhtml']
['3'],['广州市不动产登记中心（广州市房地产交易登记中心）物业管理服务采购项目(CD2020-0107)单一来源采购公告'],['2020-12-08'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/764805.jhtml']
['4'],['增城区挂绿湖安置区智慧社区项目第三方测评服务项目(CZ2020-1815)招标公告'],['2020-12-08'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/764798.jhtml']
['5'],['广州市公安局海珠区分局看守所武警智慧磐石项目（二期）建设项目(CZ2020-2051)招标公告'],['2020-12-08'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/764797.jhtml']
['6'],['广州市海珠区人民法院2020年计划外项目设计咨询服务采购项目(CC2020-0218)竞争性磋商公告'],['2020-12-08'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/764794.jhtml']
['7'],['广州市黄埔区城市管理和综合执法局黄埔区查控两违安保服务采购项目(CZ2020-2009)招标公告'],['2020-12-08'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/764790.jhtml']
['8'],['广州市白云区人民政府大源街道办事处主干道路一体化管养项目(CZ2020-2035)招标公告'],['2020-12-07'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/764674.jhtml']
['9'],['广州市番禺区教育局社区教育数字平台建设服务商采购项目(CC2020-0206)竞争性磋商公告'],['2020-12-07'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/764622.jhtml']
['10'],[' 广州市白云区太和镇“令行禁止、有呼必应”综合指挥调度平台采购项目(CZ2020-2026)招标公告'],['2020-12-07'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/764616.jhtml']
['1'],['广州市增城区5G智慧农业建设项目(CZ2020-1945)招标公告'],['2020-12-07'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/764608.jhtml']
['2'],['广州市白云区京溪街“令行禁止、有呼必应”综合指挥调度平台采购项目(CZ2020-2030)招标公告'],['2020-12-07'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/764607.jhtml']
['3'],['广州市第一人民医院高水平医院信息化能力提升建设项目(CZ2020-1726)招标公告'],['2020-12-07'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/764569.jhtml']
['4'],['广州市黄埔区人力资源和社会保障局视频会议系统设备采购项目(CZ2020-1982)招标公告'],['2020-12-07'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/764554.jhtml']
['5'],['广州市黄埔区人力资源和社会保障局人才指数发布系统软件采购项目(CC2020-0223)竞争性磋商公告'],['2020-12-07'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/764552.jhtml']
['6'],['广州市黄埔区不动产登记中心档案无纸化扫描服务采购项目(CZ2020-1867)招标公告'],['2020-12-07'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/764551.jhtml']
['7'],['广东省广州市中级人民法院诉讼材料数字化加工服务采购项目(CC2020-0185)竞争性磋商公告'],['2020-12-07'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/764506.jhtml']
['8'],['孙中山大元帅府纪念馆图书资料采购项目(CD2020-0110)单一来源采购公告'],['2020-12-04'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/764317.jhtml']
['9'],['广州市黄埔区联和街道社区综合管理服务中心联和街出租屋黄陂南工作站房屋租赁采购项目(CD2020-0111)单一来源采购公告'],['2020-12-04'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/764309.jhtml']
['10'],['中共广州市委机关事务管理局（中共广州市委机关服务中心）越秀北路311号办公楼（13至24层）综合物业服务采购项目(CZ2020-2024)招标公告'],['2020-12-04'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/764273.jhtml']
['1'],['广州开发区经济和信息化局、广州市黄埔区工业和信息化局《黄埔区、广州开发区集成电路产业发展、重点园区、招商策略规划》采购项目(CZ2020-1965)招标公告'],['2020-12-04'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/764262.jhtml']
['2'],['广州市医疗保险服务中心广州市城乡居民大病医疗保险采购项目(CZ2020-1957)招标公告'],['2020-12-04'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/764254.jhtml']
['3'],['广州市社会福利院物业管理服务项目(CZ2020-1507)招标公告'],['2020-12-04'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/764249.jhtml']
['4'],['广东省广州市中级人民法院2021年物业管理服务采购项目(CZ2020-1762)招标公告'],['2020-12-04'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/764214.jhtml']
['5'],['广州市黄埔区穗东街庙头村旧村改造项目(CZ2020-2033)公开引入合作企业公告'],['2020-12-04'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/764156.jhtml']
['6'],['2020年广州市从化区教育局初中学业水平考试理化生实验操作考试场室信息化设备采购项目(CZ2020-2032)招标公告'],['2020-12-04'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/764143.jhtml']
['7'],['广州大学网络空间先进技术研究院-Handle标识解析二级节点建设采购项目(CC2020-0214)竞争性磋商公告'],['2020-12-04'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/764132.jhtml']
['8'],['粤港澳大湾区（广东）创新创业孵化基地产品试验试制平台设施设备采购项目(CZ2020-1997)招标公告'],['2020-12-04'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/764124.jhtml']
['9'],['广州市中山纪念堂管理中心2021-2022年中山纪念堂卫生保洁服务采购项目(CZ2020-1971)招标公告'],['2020-12-04'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/764122.jhtml']
['10'],['2020年广州市第八人民医院信息安全等保测评服务项目(CJ2020-0054)竞争性谈判公告'],['2020-12-04'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/764115.jhtml']
['1'],['广州市南沙区城市管理局南沙区垃圾分类日常检查评价采购项目(CZ2020-1656)招标公告'],['2020-12-04'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/764107.jhtml']
['2'],['2020年广州市教育科研网出口流量租赁及应用系统维护项目（广州市教育科研网应用系统维护及信息安全维护服务项目）之市教育局机关运维(CC2020-0147)竞争性磋商公告'],['2020-12-04'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/764103.jhtml']
['3'],['城维计划——景区安全保卫经费（广州市白云山云台景区管理中心） (CZ2020-1795)招标公告'],['2020-12-04'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/764100.jhtml']
['4'],['增城区2020年度无线城市（无线公交）移动互联网数据接入服务租赁采购项目(CC2020-0228)竞争性磋商公告'],['2020-12-04'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/764098.jhtml']
['5'],['城维计划－景区安全保卫经费(CZ2020-1895)招标公告'],['2020-12-04'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/764095.jhtml']
['6'],['广州市白云区市场监督管理局国有资产综合管理平台项目(CZ2020-1510)招标公告'],['2020-12-04'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/764091.jhtml']
['7'],['广州特种承压设备检测研究院临时交通车租赁服务采购项目(CZ2020-2015)招标公告'],['2020-12-03'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/763975.jhtml']
['8'],['粤港澳大湾区（广东）创新创业孵化基地公共区域设施设备采购项目(CZ2020-1956)招标公告'],['2020-12-03'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/763911.jhtml']
['9'],['城维计划-景区安全保卫经费(CZ2020-1744)招标公告'],['2020-12-03'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/763888.jhtml']
['10'],['广州市从化区人民法院物业管理服务采购项目(CZ2020-1939)招标公告'],['2020-12-03'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/763871.jhtml']
['1'],['广州市规划和自然资源局从化区分局2020年度建设工程规划许可阶段和规划条件核实技术审查服务采购项目(CC2020-0181)竞争性磋商公告'],['2020-12-03'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/763870.jhtml']
['2'],['广州开发区公园管理中心（广州市黄埔区公园管理中心）香雪公园、植树公园卫生保洁服务采购项目(CZ2020-1881)招标公告'],['2020-12-03'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/763856.jhtml']
['3'],['广州市急救医疗指挥中心2020年广州地区院前医疗急救呼救定位平台建设采购项目(CC2020-0227)竞争性磋商公告'],['2020-12-03'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/763847.jhtml']
['4'],['广州市番禺区中医院电梯维修保养服务采购项目(CZ2020-2001)招标公告'],['2020-12-03'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/763830.jhtml']
['5'],['2021年度海珠湿地保安服务(CZ2020-1887)招标公告'],['2020-12-03'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/763829.jhtml']
['6'],['增城区朱村街广州科教城项目安置区物业管理服务采购项目(CZ2020-1707)招标公告'],['2020-12-03'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/763823.jhtml']
['7'],['广州医科大学附属第一医院后勤社会化服务项目（保洁配送）(CZ2020-2003)招标公告'],['2020-12-03'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/763820.jhtml']
['8'],['广州特种机电设备检测研究院物业服务采购项目(CZ2020-1941)招标公告'],['2020-12-03'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/763809.jhtml']
['9'],['城维计划-景区安全保卫经费(CZ2020-1718)招标公告'],['2020-12-03'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/763803.jhtml']
['10'],['景区安全保卫经费(CZ2020-1794)招标公告'],['2020-12-03'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/763802.jhtml']
['1'],['广州市南沙区万顷沙镇人民政府万顷沙镇其他垃圾拆解分类处理服务采购项目(CC2020-0192)竞争性磋商公告'],['2020-12-03'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/763788.jhtml']
['2'],['2020年清远市人民医院设备类项目需求征集公告'],['2020-11-26'],['http://ggzy.gz.gov.cn/fjyzxgg/762688.jhtml']
['3'],['广州空港经济区安全监管局2020年应急指挥信息系统一期项目(CZ2020-1960)招标公告'],['2020-12-02'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/763697.jhtml']
['4'],['广州市天河区政务服务数据管理局天河区政务服务中心语音通信系统改造采购项目(CC2020-0216)竞争性磋商公告'],['2020-12-02'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/763677.jhtml']
['5'],['广州市花都区人民法院2021-2022年诉讼档案扫描加工服务采购项目(CZ2020-1827)招标公告'],['2020-12-02'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/763662.jhtml']
['6'],['广州市轻工高级技工学校东校区学生实训及培训场地租赁采购项目(CZ2020-1984)招标公告'],['2020-12-02'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/763658.jhtml']
['7'],['广州市公安局从化区分局执法办案场所智能化管理设备采购安装项目(CZ2020-1966)招标公告'],['2020-12-02'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/763643.jhtml']
['8'],['粤港澳大湾区（广东）创新创业孵化基地大小路演厅及LED大屏幕设备采购项目(CZ2020-1934)招标公告'],['2020-12-02'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/763641.jhtml']
['9'],['广州市海珠区人民法院2020年计划外项目工程监理服务采购项目(CC2020-0219)竞争性磋商公告'],['2020-12-02'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/763614.jhtml']
['10'],['广州市白云山鸣春谷景区管理中心城维计划——景区日常卫生保洁经费——广州市白云山鸣春谷景区保洁服务工作承包项目(CZ2020-1923)招标公告'],['2020-12-01'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/763499.jhtml']
['1'],['城维计划-景区安全保卫经费（广州市白云山麓湖景区管理中心）(CZ2020-1912)招标公告'],['2020-12-01'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/763491.jhtml']
['2'],['广州市番禺区人民检察院2021年-2023年物业管理服务采购项目(CZ2020-1787)招标公告'],['2020-12-01'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/763485.jhtml']
['3'],['广州卫生职业技术学院2021-2022年保安服务采购项目(CZ2020-1779)招标公告'],['2020-12-01'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/763481.jhtml']
['4'],['广州市高级技工学校保安服务采购项目(CZ2020-1988)招标公告'],['2020-12-01'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/763462.jhtml']
['5'],['广州市番禺区人民政府桥南街道办事处2021-2022年交通协管员安保服务采购项目(CZ2020-1716)招标公告'],['2020-12-01'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/763459.jhtml']
['6'],['广州市花都区人民医院电子病历无纸化归档采购项目(CZ2020-1789)招标公告'],['2020-12-01'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/763458.jhtml']
['7'],[' 花都区中轴线石岗新村安置区（感恩苑、团结苑、正能量苑）物业管理服务采购项目(CZ2020-1909)招标公告'],['2020-12-01'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/763456.jhtml']
['8'],['后勤服务人员社会化服务项目(CZ2020-1940)招标公告'],['2020-12-01'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/763451.jhtml']
['9'],['2020年度广州市中心城区城市道路停车智能管理网络租赁采购项目(CC2020-0202)竞争性磋商公告'],['2020-12-01'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/763440.jhtml']
['10'],['荔湾区电子政务体系信息化运维项目(CZ2020-1771)招标公告'],['2020-12-01'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/763424.jhtml']
['1'],['广州市番禺区大龙街应急垃圾处理项目 (CZ2020-1739)招标公告'],['2020-12-01'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/763401.jhtml']
['2'],['广州市越秀公园安保服务采购项目(CZ2020-1822)招标公告'],['2020-12-01'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/763391.jhtml']
['3'],['广州市妇女儿童医疗中心2020年办公耗材采购项目(CZ2020-1821)招标公告'],['2020-11-30'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/763284.jhtml']
['4'],['广州市番禺区教育局招生信息化管理应用软件开发服务采购项目(CC2020-0205)竞争性磋商公告'],['2020-11-30'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/763274.jhtml']
['5'],['中共广州市黄埔区委政法委员会区城市更新护航保障数据支撑服务系统项目建设采购项目(CZ2020-1961)招标公告'],['2020-11-30'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/763245.jhtml']
['6'],['广州市公安局警用直升机航材工具购置采购项目(CD2020-0078)单一来源采购公告'],['2020-11-30'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/763242.jhtml']
['7'],['广州市公安局从化区分局从化区看守所智能管理信息化系统建设项目(CZ2020-1548)招标公告'],['2020-11-30'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/763240.jhtml']
['8'],['中共广州市黄埔区委政法委员会区政法融媒体中心系统建设及运营采购项目(CZ2020-1873)招标公告'],['2020-11-30'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/763229.jhtml']
['9'],['广州市公安局特警支队装备购置项目(CZ2020-1659)招标公告'],['2020-11-30'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/763227.jhtml']
['10'],['广州市公安局反恐训练基地基础信息化及指挥中心建设项目监理服务项目(CZ2020-1673)招标公告'],['2020-11-30'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/763217.jhtml']
['1'],['广州市公安局从化区分局从化区看守所智能管理信息化系统建设项目监理服务项目(CC2020-0167)竞争性磋商公告'],['2020-11-30'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/763216.jhtml']
['2'],['广州市救助管理站2020年升级改造信息化项目(CZ2020-1351)招标公告'],['2020-11-30'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/763214.jhtml']
['3'],['广州市白云山摩星岭景区管理中心城维计划-景区日常卫生保洁经费-摩星岭景区日常卫生保洁项目（2021年-2023年）(CZ2020-1896)招标公告'],['2020-11-30'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/763174.jhtml']
['4'],['广州市黄埔区机关事务管理局行政中心中央空调系统维保服务采购项目(CZ2020-1910)招标公告'],['2020-11-30'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/763173.jhtml']
['5'],['广州市南沙区横沥镇中心幼儿园第一分园和冯马分园2020年信息化系统建设采购服务项目(CZ2020-1974)招标公告'],['2020-11-30'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/763172.jhtml']
['6'],['广州大学综合信息门户和认证平台升级建设及网上服务中心二期建设项目(CZ2020-1996)招标公告'],['2020-11-30'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/763158.jhtml']
['7'],['广州市总工会2020年-2021年“广州工会”微信订阅号、视频号、官方微博、抖音和移动客户端平台建设及运维宣传服务项目招标公告'],['2020-11-27'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/763038.jhtml']
['8'],['广州市海珠区人民法院2020年计划外项目-子项目4 立案大厅诉讼服务系统改造项目 (CC2020-0212)竞争性磋商公告'],['2020-11-27'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/763018.jhtml']
['9'],['广州市市长专线电话受理中心 2021-2022年广州12345政府服务热线话务场地物业服务项目(CZ2020-1915)招标公告'],['2020-11-27'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/762993.jhtml']
['10'],['广州市增城区教育局2020年初中学业水平考试物理化学考点信息化采购项目(CZ2020-1544)招标公告'],['2020-11-27'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/762992.jhtml']
['1'],['广州市总工会2020年-2021年“广州工会”微信订阅号、视频号、官方微博、抖音和移动客户端平台建设及运维宣传服务项目(CZ2020-1859)招标公告'],['2020-11-27'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/762976.jhtml']
['2'],['广州市公安局白云区分局看守所智慧新监管信息安全等保和验收测评服务采购项目子项目2(CC2020-0226)竞争性磋商公告'],['2020-11-27'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/762965.jhtml']
['3'],['广州大学2020年信息化项目安全测评服务采购项目(CD2020-0109)单一来源采购公告'],['2020-11-27'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/762963.jhtml']
['4'],['广州市荔湾区政务服务数据管理局荔湾区综合政务服务平台建设和推广采购项目(CZ2020-1777)招标公告'],['2020-11-27'],['http://ggzy.gz.gov.cn/jyywzfcgzfcgcggg/762945.jhtml']
