截止时间,项目标题,开始时间,结束时间,跳转链接
"['12-11', '2020']",['劳务派遣项目招标公告'],['2020-12-11 09:00:00'],['2020-12-18 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg1fw/85665.htm']
"['12-11', '2020']",['佛山市政府挂牌督办火灾高风险区域专项整治第三方评估验收项目成交结果公告'],['2020-12-11 18:48:00'],['2020-12-11 18:48:00'],['https://www.chengezhao.com//cms/channel/ywgg4fw/85664.htm']
"['12-11', '2020']",['中国邮政储蓄银行股份有限公司赣州市分行营业部及南康潭口镇支行、会昌县支行武装押运服务采购项目会昌县支行标包（第三次）公告'],['2020-12-11 09:00:00'],['2020-12-16 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg1fw/85663.htm']
"['12-11', '2020']",['中国银行股份有限公司湛江分行本部大楼装修改造工程项目项目招标公告'],['2020-12-11 09:00:00'],['2020-12-18 17:31:00'],['https://www.chengezhao.com//cms/channel/ywgg1gc/85662.htm']
"['12-11', '2020']",['2021年、2022年中低压施工监理项目招标公告'],['2020-12-11 09:00:00'],['2021-01-03 17:30:00'],['https://www.chengezhao.com//cms/channel/ywgg1fw/85661.htm']
"['12-11', '2020']",['中国铁塔内蒙古分公司2021年室分施工服务集中招标项目项目招标公告'],['2020-12-11 09:00:00'],['2020-12-16 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg1gc/85660.htm']
"['12-11', '2020']",['广东科学技术职业学院材料与施工工艺实训场地设备采购项目（包组一）废标公告'],['2020-12-11 17:33:00'],['2020-12-11 17:33:00'],['https://www.chengezhao.com//cms/channel/ywgg2hw/85659.htm']
"['12-11', '2020']",['数字江门网络建设有限公司信息系统安全等级保护（2020-2021年）项目谈判公告'],['2020-12-11 09:00:00'],['2020-12-15 17:30:00'],['https://www.chengezhao.com//cms/channel/ywgg1fw/85658.htm']
"['12-11', '2020']",['中国铁塔内蒙古分公司2021年土建综合一体化施工服务集中招标项目项目招标公告'],['2020-12-11 09:00:00'],['2020-12-18 17:30:00'],['https://www.chengezhao.com//cms/channel/ywgg1gc/85657.htm']
"['12-11', '2020']",['校园安全监控系统升级改造中标公告'],['2020-12-11 17:13:00'],['2020-12-11 17:13:00'],['https://www.chengezhao.com//cms/channel/ywgg4hw/85656.htm']
"['12-11', '2020']",['广东省广播电视网络股份有限公司中山分公司政企增值业务平台网络安全部署暨安全运维项目更正公告'],['2020-12-11 16:50:00'],['2020-12-11 16:50:00'],['https://www.chengezhao.com//cms/channel/ywgg2hw/85655.htm']
"['12-11', '2020']",['韶关卷烟厂制丝车间制叶(A)线加料段及配比加香线掺配段改造项目（2020-2021）--工艺辅联机械设备采购、利旧设备搬迁及配套安装服务项目中标候选人公示'],['2020-12-12 00:00:00'],['2020-12-14 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg3fw/85654.htm']
"['12-11', '2020']",['中山市博爱医院中山市博爱医院检验科、信息科、生殖中心UPS项目（07-02-04A-2020-D-E19376）的中标公告'],['2020-12-11 16:46:00'],['2020-12-11 16:46:00'],['https://www.chengezhao.com//cms/channel/ywgg4fw/85653.htm']
"['12-11', '2020']",['数字江门网络建设有限公司机房安全加固和关键设备维保（2020-2021年度）维护项目中标候选人公示'],['2020-12-11 00:00:00'],['2020-12-13 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg3fw/85652.htm']
"['12-11', '2020']",['珠海市金叶工业有限公司2021-2022年烟用内衬纸采购项目中标候选人公示'],['2020-12-11 00:00:00'],['2020-12-14 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg3hw/85651.htm']
"['12-11', '2020']",['珠海市金叶工业有限公司2021-2022年白色水松原纸采购项目中标候选人公示'],['2020-12-11 00:00:00'],['2020-12-14 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg3hw/85650.htm']
"['12-11', '2020']",['广州市兴运能源有限公司横滘加油站加油机及附属设备采购项目招标公告'],['2020-12-11 09:00:00'],['2020-12-16 17:30:00'],['https://www.chengezhao.com//cms/channel/ywgg1hw/85649.htm']
"['12-11', '2020']",['中国铁塔股份有限公司鹰潭市分公司2020年基站转供电改造施工项目项目公告'],['2020-12-11 09:00:00'],['2020-12-15 17:30:00'],['https://www.chengezhao.com//cms/channel/ywgg1gc/85648.htm']
"['12-11', '2020']",['邵东（蓝山）深燃2020年新建仓库项目变更公告'],['2020-12-11 16:29:00'],['2020-12-11 16:29:00'],['https://www.chengezhao.com//cms/channel/ywgg2gc/85647.htm']
"['12-11', '2020']",['中国邮政储蓄银行股份有限公司黑龙江省分行直属支行2021年旺季收单及个商业务联动专项技能提升项目中标候选人公示'],['2020-12-11 00:00:00'],['2020-12-13 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg3fw/85646.htm']
"['12-11', '2020']",['中国邮政储蓄银行股份有限公司宜春市分行食堂食材采购项目（第二次）中标候选人公示'],['2020-12-12 00:00:00'],['2020-12-14 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg3hw/85645.htm']
"['12-11', '2020']",['深圳市育新学校工薪管理系统中标结果公示'],[''],[''],['https://www.chengezhao.com//cms/channel/ywgg3fw/85644.htm']
"['12-11', '2020']",['中国人寿保险股份有限公司长沙市分公司食堂食材采购入围供应商项目中标结果公示'],['2020-12-11 15:26:00'],['2020-12-11 15:26:00'],['https://www.chengezhao.com//cms/channel/ywgg4hw/85643.htm']
"['12-11', '2020']",['天津市南水北调中线工程静海引江供水工程铁路穿越专项设计项目中标候选人公示'],['2020-12-11 00:00:00'],['2020-12-14 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg3fw/85642.htm']
"['12-11', '2020']",['广州市广播电视大学2020年广州市中小学教师继续教育专项培训项目（师资均衡类）（包9第四次招标）中标公告'],['2020-12-11 15:13:00'],['2020-12-11 15:13:00'],['https://www.chengezhao.com//cms/channel/ywgg4fw/85641.htm']
"['12-11', '2020']",['武警广东省总队医院医保相关接口升级改造服务采购项目中标候选人公示'],['2020-12-11 00:00:00'],['2020-12-14 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg3fw/85640.htm']
"['12-11', '2020']",['明光深燃天然气有限公司2021-2023年度物业服务项目（第二次）-比选公告'],['2020-12-11 09:00:00'],['2020-12-20 17:30:00'],['https://www.chengezhao.com//cms/channel/ywgg1fw/85639.htm']
"['12-11', '2020']",['中国人民解放军某部文体活动中心音响会议设备采购项目招标公告'],['2020-12-11 09:00:00'],['2020-12-18 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg1hw/85638.htm']
"['12-11', '2020']",['武警广东省总队医院年度HIS升级改造服务采购项目公开招标失败公告'],['2020-12-11 14:26:00'],['2020-12-11 14:26:00'],['https://www.chengezhao.com//cms/channel/ywgg2fw/85637.htm']
"['12-11', '2020']",['广东广信通信服务有限公司2020-2021年度存量业务电话营销外包服务项目失败公告'],['2020-12-11 14:22:00'],['2020-12-11 14:22:00'],['https://www.chengezhao.com//cms/channel/ywgg2fw/85636.htm']
"['12-11', '2020']",['定远县深燃天然气有限公司2021-2022年度保安服务项目（第二次）-比选公告'],['2020-12-11 09:00:00'],['2020-12-20 17:30:00'],['https://www.chengezhao.com//cms/channel/ywgg1fw/85635.htm']
"['12-11', '2020']",['2020年-2021年河源分公司（新城区及紫金、龙川及和平、东源及连平、老城区）大客户末梢接入施工服务框架项目招标公告'],['2020-12-10 09:00:00'],['2020-12-16 12:00:00'],['https://www.chengezhao.com//cms/channel/ywgg1gc/85634.htm']
"['12-11', '2020']",['中国铁塔股份有限公司张家口市分公司2020-2021年二轮外卖电动车租赁项目项目公告'],['2020-12-11 09:00:00'],['2020-12-14 17:30:00'],['https://www.chengezhao.com//cms/channel/ywgg1hw/85633.htm']
"['12-11', '2020']",['中国铁塔股份有限公司张家口市分公司2020年张家口高铁沿线冬奥安保高点视频监控运行维护服务项目三维建模采购项目公告'],['2020-12-11 09:00:00'],['2020-12-14 17:30:00'],['https://www.chengezhao.com//cms/channel/ywgg1hw/85632.htm']
"['12-11', '2020']",['湖北省荣军医院临时租赁移动CT项目终止公告'],['2020-12-11 10:56:00'],['2020-12-11 10:56:00'],['https://www.chengezhao.com//cms/channel/ywgg2hw/85631.htm']
"['12-11', '2020']",['中国移动四川公司资阳分公司2020-2023年第三方基站基础设施租赁服务项目项目公告'],['2020-12-11 09:00:00'],['2020-12-16 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg1fw/85630.htm']
"['12-11', '2020']",['广发银行东莞分行零售信贷业务外包（第二次）项目招标公告'],['2020-12-11 09:00:00'],['2020-12-16 17:30:00'],['https://www.chengezhao.com//cms/channel/ywgg1fw/85629.htm']
"['12-11', '2020']",['广发银行福州分行营业及办公场所保洁项目（第二次）-失败公告'],['2020-12-11 09:19:00'],['2020-12-11 09:19:00'],['https://www.chengezhao.com//cms/channel/ywgg2fw/85628.htm']
"['12-11', '2020']",['广州长运冷链服务有限公司有害生物综合防治项目竞价邀请函'],['2020-12-11 09:00:00'],['2020-12-16 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg1fw/85627.htm']
"['12-10', '2020']",['广发银行江门分行2021-2025年保安服务项目（第二次）项目招标公告'],['2020-12-10 09:00:00'],['2020-12-16 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg1fw/85626.htm']
"['12-10', '2020']",['广发银行深圳分行年度维修工程项目招标公告'],['2020-12-10 09:00:00'],['2020-12-18 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg1gc/85625.htm']
"['12-10', '2020']",['广发银行江门分行江门市中心医院智慧食堂项目招标公告（第二次）'],['2020-12-10 19:37:00'],['2020-12-10 19:37:00'],['https://www.chengezhao.com//cms/channel/ywgg2hw/85624.htm']
"['12-10', '2020']",['数字江门网络建设有限公司保险信息系统硬件设备及数据库维保（2020-2021年度）项目中标候选人公示'],['2020-12-10 00:00:00'],['2020-12-12 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg3fw/85622.htm']
"['12-10', '2020']",['数字江门网络建设有限公司保险信息管理系统软件维护服务项目中标候选人公示'],['2020-12-10 00:00:00'],['2020-12-12 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg3fw/85621.htm']
"['12-10', '2020']",['数字江门网络建设有限公司机房维护（2020-2021年度）项目中标候选人公示'],['2020-12-10 00:00:00'],['2020-12-12 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg3fw/85620.htm']
"['12-10', '2020']",['珠海某单位库室货架采购项目公开招标公告'],['2020-12-10 09:00:00'],['2020-12-17 17:30:00'],['https://www.chengezhao.com//cms/channel/ywgg1hw/85619.htm']
"['12-10', '2020']",['中国银行广东省分行国产化PC采购项目（子包二：飞腾平台）项目公告'],['2020-12-10 09:00:00'],['2020-12-15 17:30:00'],['https://www.chengezhao.com//cms/channel/ywgg1hw/85618.htm']
"['12-10', '2020']",['西安电子科技大学智能制造创新中心设备采购项目单一来源采购公示'],['2020-12-10 18:01:00'],['2020-12-10 18:01:00'],['https://www.chengezhao.com//cms/channel/ywgg4hw/85617.htm']
"['12-10', '2020']",['佛山市行政执法信息平台项目公开招标公告'],['2020-12-10 09:00:00'],['2020-12-17 23:59:00'],['https://www.chengezhao.com//cms/channel/ywgg1fw/85616.htm']
"['12-10', '2020']",['中国银行广东省分行国产化PC采购项目（子包一：兆芯平台）项目采购公告'],['2020-12-10 09:00:00'],['2020-12-15 17:30:00'],['https://www.chengezhao.com//cms/channel/ywgg1hw/85615.htm']
"['12-10', '2020']",['交通银行股份有限公司珠海分行员工配置羊绒衫采购项目中标候选人公示'],['2020-12-11 00:00:00'],['2020-12-15 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg3hw/85614.htm']
"['12-10', '2020']",['2021年广东广信通信服务有限公司广东省业务工单处理支撑服务外包采购项目标段2中标候选人公示'],['2020-12-11 00:00:00'],['2020-12-13 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg3fw/85613.htm']
"['12-10', '2020']",['北方中心健康医疗数据可视化及定制化工具（第二次）项目公告'],['2020-12-10 09:00:00'],['2020-12-15 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg1fw/85612.htm']
"['12-10', '2020']",['北方公司2020年-2021年数据治理服务支撑项目入围公告'],['2020-12-10 09:00:00'],['2020-12-15 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg1fw/85611.htm']
"['12-10', '2020']",['2021年广东广信通信服务有限公司广东省业务工单处理支撑服务外包采购项目标段一失败公告'],['2020-12-10 17:11:00'],['2020-12-10 17:11:00'],['https://www.chengezhao.com//cms/channel/ywgg2fw/85610.htm']
"['12-10', '2020']",['邵东深燃应急调度中心SCADA系统及站控系统改造项目(第二次)中标公告'],['2020-12-10 16:59:00'],['2020-12-10 16:59:00'],['https://www.chengezhao.com//cms/channel/ywgg4hw/85609.htm']
"['12-10', '2020']",['邵东深燃新营业厅办公家具采购项目中标公告'],['2020-12-10 16:56:00'],['2020-12-10 16:56:00'],['https://www.chengezhao.com//cms/channel/ywgg4hw/85608.htm']
"['12-10', '2020']",['揭西县疾病预防控制中心现场流调处置设备采购项目项目公告'],['2020-12-10 09:00:00'],['2020-12-17 17:30:00'],['https://www.chengezhao.com//cms/channel/ywgg1hw/85607.htm']
"['12-10', '2020']",['广发银行信用卡中心印刷出版《广发银行信用卡智能金融之道》项目（第二次）- 中选结果公示'],['2020-12-10 16:47:00'],['2020-12-10 16:47:00'],['https://www.chengezhao.com//cms/channel/ywgg4hw/85606.htm']
"['12-10', '2020']",['交通银行股份有限公司珠海分行公务车辆维修服务商选定项目（重招标包2）失败公告'],['2020-12-10 15:46:00'],['2020-12-10 15:46:00'],['https://www.chengezhao.com//cms/channel/ywgg2fw/85605.htm']
"['12-10', '2020']",['汕头市第三人民医院发热门诊CT系统新建低压线路工程中标候选人公示'],['2020-12-11 00:00:00'],['2020-12-14 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg3gc/85604.htm']
"['12-10', '2020']",['某部内部营区超市入驻项目项目招标公告'],['2020-12-10 09:00:00'],['2020-12-18 17:00:00'],['https://www.chengezhao.com//cms/channel/ywgg1fw/85603.htm']
"['12-10', '2020']",['广州市一汽巴士有限公司2020年37台纯电动客车招标项目-标包3中标候选人公示'],['2020-12-11 00:00:00'],['2020-12-14 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg3hw/85602.htm']
"['12-10', '2020']",['广州市一汽巴士有限公司2020年37台纯电动客车招标项目-标包2中标候选人公示'],['2020-12-11 00:00:00'],['2020-12-14 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg3hw/85601.htm']
"['12-10', '2020']",['广州市一汽巴士有限公司2020年37台纯电动客车招标项目-标包1中标候选人公示'],['2020-12-11 00:00:00'],['2020-12-14 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg3hw/85600.htm']
"['12-10', '2020']",['广州长运冷链服务有限公司2020年拉伸膜采购项目中标结果公告'],['2020-12-10 12:19:00'],['2020-12-10 12:19:00'],['https://www.chengezhao.com//cms/channel/ywgg4hw/85599.htm']
"['12-10', '2020']",['中国移动天津2021-2023年度华北大区及天津省库保险采购项目项目公告'],['2020-12-10 09:00:00'],['2020-12-15 14:00:00'],['https://www.chengezhao.com//cms/channel/ywgg1fw/85598.htm']
"['12-03', '2020']",['联通（广东）产业互联网有限公司2020年人力资源管理服务（标段：猎头挖猎）滚动招募（第一次）项目入围候选人公示'],[''],[''],['https://www.chengezhao.com//cms/channel/ywgg3fw/85597.htm']
"['12-10', '2020']",['兴业银行2020年鳌峰机房办公区和前置区存储虚拟化网关扩容项目招标公告'],['2020-12-10 09:00:00'],['2020-12-15 12:00:00'],['https://www.chengezhao.com//cms/channel/ywgg1hw/85596.htm']
"['12-10', '2020']",['兴业银行2020年DWDM设备迁移及扩容部署采购项目招标公告'],['2020-12-10 09:00:00'],['2020-12-15 11:30:00'],['https://www.chengezhao.com//cms/channel/ywgg1hw/85595.htm']
"['12-08', '2020']",['2021年春节联欢晚会舞台租赁项目项目公告'],[''],[''],['https://www.chengezhao.com//cms/channel/ywgg1fw/85594.htm']
"['12-10', '2020']",['安徽深燃天然气有限公司网络专线（MSTP）租赁项目中标候选人公示'],['2020-12-10 00:00:00'],['2021-12-15 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg3fw/85593.htm']
"['12-10', '2020']",['利辛深燃液化石油气二级供应站设计项目（第二次）中标候选人公示'],['2020-12-10 00:00:00'],['2021-12-15 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg3fw/85592.htm']
"['12-10', '2020']",['2021年甜橙融资租赁（上海）有限公司外聘财务咨询服务项目（重新比选）比选失败公告'],['2020-12-10 10:20:00'],['2020-12-10 10:20:00'],['https://www.chengezhao.com//cms/channel/ywgg2fw/85591.htm']
"['12-10', '2020']",['安徽深燃天然气有限公司2020-2022年度办公用品采购项目（第二次）中标候选人公示'],['2020-12-10 00:00:00'],['2020-12-15 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg3hw/85590.htm']
"['12-10', '2020']",['安徽深燃天然气有限公司班车租赁服务采购项目中标候选人公示'],['2020-12-10 00:00:00'],['2020-12-15 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg3fw/85589.htm']
"['12-10', '2020']",['数字江门网络建设有限公司中心机房及镇街级公共服务中心设备运维服务项目成交结果公告'],['2020-12-10 09:46:00'],['2020-12-10 09:46:00'],['https://www.chengezhao.com//cms/channel/ywgg4fw/85588.htm']
"['12-10', '2020']",['数字江门网络建设有限公司医疗服务DRG分组支付病例筛选及医疗评价系统项目成交结果公告'],['2020-12-10 09:41:00'],['2020-12-10 09:41:00'],['https://www.chengezhao.com//cms/channel/ywgg4fw/85587.htm']
"['12-10', '2020']",['数字江门网络建设有限公司招商项目服务平台建设服务采购项目成交结果公告'],['2020-12-10 09:41:00'],['2020-12-10 09:41:00'],['https://www.chengezhao.com//cms/channel/ywgg4fw/85586.htm']
"['12-09', '2020']",['广发银行江门分行工鞋采购项目项目招标公告'],['2020-12-09 09:00:00'],['2020-12-15 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg1hw/85585.htm']
"['12-09', '2020']",['广发银行江门分行江门市中心医院智慧食堂项目项目招标公告'],['2020-12-09 09:00:00'],['2020-12-15 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg1hw/85584.htm']
"['12-09', '2020']",['仲恺高新区“平安仲恺”治安监控视频及治安卡口升级改造、智慧城市视频应用平台项目中标候选人公示'],['2020-12-04 00:00:00'],['2020-12-07 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg3fw/85583.htm']
"['12-09', '2020']",['交通银行股份有限公司中山分行日常零星搬运采购项目项目招标公告'],['2020-12-09 09:00:00'],['2020-12-16 17:30:00'],['https://www.chengezhao.com//cms/channel/ywgg1fw/85582.htm']
"['12-09', '2020']",['广发银行昆明分行机场廊桥广告投放项目中选结果公示'],['2020-12-09 18:58:00'],['2020-12-09 18:58:00'],['https://www.chengezhao.com//cms/channel/ywgg4fw/85581.htm']
"['12-09', '2020']",['室内标签标识牌供货资格采购项目招标公告'],['2020-12-09 09:00:00'],['2020-12-17 17:30:00'],['https://www.chengezhao.com//cms/channel/ywgg1hw/85580.htm']
"['12-09', '2020']",['广发银行（总行）全行个人电脑框架协议采购项目-中选结果公示'],['2020-12-09 18:06:00'],['2020-12-09 18:06:00'],['https://www.chengezhao.com//cms/channel/ywgg4fw/85579.htm']
"['12-09', '2020']",['中国电信股份有限公司亳州分公司利辛电信综合楼景观道排工程项目中标候选人公示'],['2020-12-01 00:00:00'],['2020-12-03 00:00:00'],['https://www.chengezhao.com//cms/channel/ywgg3gc/85578.htm']
