项目名称,发布时间,开标时间,跳转链接
['专用电磁屏蔽用房电磁屏蔽装修及安防设备采购项目竞争性谈判公告'],['2020-12-08'],['2020-12-17'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fcf559a69f97.html']
['中山火炬开发区湾西智谷核心区城市设计项目招标公告'],['2020-12-08'],['2020-12-30'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fcf457c8694d.html']
['广州市污水治理工程管理办公室 广州市水务局应急专项工作经费项目招标公告'],['2020-12-08'],['2020-12-29'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fcf4298bf2a3.html']
['惠州市第三人民医院磁共振等医疗设备维保项目（03包）单一来源采购公示'],['2020-12-08'],['2020-12-17'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fcf316555ed1.html']
['惠州市中大惠亚医院心血管成像系统（DSA）三年人工保服务项目（重新招标）公开招标公告'],['2020-12-08'],['2020-12-29'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fcf2b8007499.html']
['广东省从化监狱罪犯伙房餐车、牵引车采购项目竞争性磋商公告'],['2020-12-08'],['2020-12-23'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fcf2832b27cb.html']
['黄埔海关麻涌涉案财物仓库运输、装卸及整理工作备选资格竞争性磋商公告'],['2020-12-07'],['2020-12-18'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fce266c7051f.html']
['广东省自然资源厅地质灾害综合防治成效专题汇报片和宣传图集竞争性磋商公告'],['2020-12-07'],['2020-12-18'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fcdf3cec47f0.html']
['广东省政务服务数据管理局政务信息化验收测评服务项目（2020年度第二批）子项目一竞争性磋商公告'],['2020-12-07'],['2020-12-18'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fcde8dbe4cce.html']
['广东省政务服务数据管理局政务信息化验收测评服务项目（2020年度第二批）子项目二竞争性磋商公告'],['2020-12-07'],['2020-12-18'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fcde8329f63b.html']
['中山市小榄人民医院综合楼住院部一楼大堂商铺招租项目招标公告'],['2020-12-07'],['2020-12-29'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fcde6a9d19c7.html']
['广东省中山市质量计量监督检测所关于电子电器室检测能力提升设备采购的招标公告 '],['2020-12-07'],['2020-12-30'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fcdd9be647af.html']
['惠州工程职业学院业务车辆租赁服务项目竞争性磋商公告'],['2020-12-07'],['2020-12-18'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fcdd6561b162.html']
['惠州市第三人民医院被服洗涤购买服务项目二次更正公告'],['2020-12-07'],['2020-12-07'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fcdd626a5580.html']
['广州科技贸易职业学院向社会医疗机构购买医疗服务项目竞争性磋商公告'],['2020-12-07'],['2020-12-18'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fcdb570d89e9.html']
['2020年省定贫困村创建社会主义新农村示范村金垌镇幸福村乡村旅游设施项目竞争性磋商公告'],['2020-12-04'],['2020-12-15'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fca0c5a51cb3.html']
['黄埔海关移动框架优化升级软件许可采购项目竞争性磋商公告'],['2020-12-04'],['2020-12-16'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fca0a99a75a7.html']
['广东省农村信用社联合社数据中心机房冷却塔更换及其相关服务项目投标邀请'],['2020-12-04'],['2020-12-29'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fca078e65d72.html']
['广东省广晟棚改投资有限公司曲江马坝项目（一期）物业管理服务采购公开招标公告'],['2020-12-04'],['2020-12-25'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fca023843384.html']
['特殊食品经营企业落实主体责任能力提升项目竞争性磋商公告'],['2020-12-04'],['2020-12-15'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fca014819bd1.html']
['特殊食品生产企业落实主体责任能力提升项目竞争性磋商公告'],['2020-12-04'],['2020-12-15'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fc9fee712980.html']
['处置HW08（900-249-08）危险废物治理服务项目竞争性磋商公告'],['2020-12-04'],['2020-12-15'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fc9f8fe14f5c.html']
['2020年广州市中职“百千万人才培养工程”顺德培训项目竞争性磋商公告'],['2020-12-04'],['2020-12-17'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fc9ed2caf710.html']
['广州互联网法院2021年度配餐服务采购项目竞争性磋商公告'],['2020-12-04'],['2020-12-16'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fc9ead2e7e0c.html']
['惠州市第三人民医院CSEMS全环境要素冷链监测管理平台项目竞争性磋商公告'],['2020-12-04'],['2020-12-16'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fc9e32677bb8.html']
['广东省应急管理厅安全生产工伤预防宣传项目竞争性磋商公告'],['2020-12-04'],['2020-12-16'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fc9d642b8418.html']
['惠州工程职业学院证书“Web前端开发实训”资源项目竞争性磋商公告'],['2020-12-03'],['2020-12-15'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fc8ac8a646b6.html']
['惠州工程职业学院物联网技术课程教学融入MR技术的创新研究与应用推广项目竞争性磋商公告'],['2020-12-03'],['2020-12-16'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fc8aae1895cc.html']
['南朗镇左步村2020年特色精品村项目-农耕路景观提升工程竞价公告'],['2020-12-03'],['2020-12-15'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fc8a66d82e5e.html']
['撬装式高压气源及控制系统和撬装式高压储气及控制系统采购招标公告'],['2020-12-03'],['2020-12-24'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fc88cb87c646.html']
['中山市第二人民医院医疗救治及公共卫生服务保障辅助工作采购项目招标公告'],['2020-12-03'],['2020-12-29'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fc87e3a4a4cb.html']
['广东省农村信用社联合社采购彩色印刷设备项目投标邀请'],['2020-12-03'],['2020-12-24'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fc84b3f80c3e.html']
['广州市天河区五山消防救援站定制五金用品采购项目竞争性磋商公告'],['2020-12-03'],['2020-12-16'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fc83fe1a987b.html']
['广州市岑村强戒所2021年戒毒人员个人购物商品配送服务招标公告'],['2020-12-02'],['2020-12-24'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fc756d1da562.html']
['广州市白云湖水利工程管理中心广州市白云湖水利工程体系2021年经常性运行及维修养护招标公告'],['2020-12-02'],['2020-12-23'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fc74f148ec58.html']
['2020年中央财政红火蚁防控服务采购项目竞争性谈判公告'],['2020-12-02'],['2019-12-09'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fc7365a9bb79.html']
['全省专技人员公需课视频云点播服务项目竞争性磋商公告'],['2020-12-02'],['2020-12-14'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fc7354031735.html']
['2021年度中山市存量房评估价格管理系统地理信息数据采集及技术支持服务采购项目竞争性磋商公告'],['2020-12-02'],['2020-12-14'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fc6f95ed8593.html']
['广州市消防救援支队“三室”（谈话室、档案室、设备室）采购项目竞争性磋商公告'],['2020-12-01'],['2020-12-14'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fc6141ea51c5.html']
['广东东源农村商业银行股份有限公司2020年度广告宣传品项目投标邀请'],['2020-12-01'],['2020-12-22'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fc607e738f91.html']
['中山市古镇人民医院关于中山市古镇人民医院迁建项目全过程咨询（项目管理）的招标公告'],['2020-12-01'],['2020-12-22'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fc6074183f90.html']
['2021-2022年石岐街道残疾人综合服务中心管理人员服务项目需求征求意见公告'],['2020-12-01'],['1970-01-01'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fc606d9b9b41.html']
['信宜市妇幼保健院检验科PCR实验室设备安装采购项目招标公告'],['2020-12-01'],['2020-12-10'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fc5f2a0338a1.html']
['广州市黄埔区人民政府夏港街道办事处 夏港街5个社区社工站服务（重招）招标公告'],['2020-12-01'],['2020-12-22'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fc5e920655b8.html']
['广东省冷藏冷冻食品质量安全追溯系统（2020年）软件开发和业务运营政府购买服务项目竞争性磋商公告'],['2020-11-30'],['2020-12-11'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fc4c5cf8a70f.html']
['中山市三角镇沙栏村党群服务中心改造工程 竞争性磋商公告'],['2020-11-30'],['2020-12-14'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fc4beff5202c.html']
['信宜市人民医院电子计算机断层扫描设备（CT机）（发热门诊用）公开招标公告'],['2020-11-30'],['2020-12-21'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fc4b8946a955.html']
['岑村水库排洪渠箱整治工程勘察设计招标公告'],['2020-11-30'],['2020-12-22'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fc4abf73dd64.html']
['东莞理工学院高水平理工科大学建设专项-东莞理工学院业务流程引擎系统软件采购招标信息公告'],['2020-11-30'],['2020-12-20'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fc4a665462db.html']
['东莞理工学院高水平理工科大学建设专项—计算机学院实验室音视频系统采购招标信息公告'],['2020-11-30'],['2020-12-21'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fc49510e941e.html']
['智慧新管控-网上人员行为分析服务项目竞争性磋商公告'],['2020-11-30'],['2020-12-11'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fc45b5e5dece.html']
['佛山农村商业银行股份有限公司票据传递服务采购项目投标邀请'],['2020-11-27'],['2020-12-10'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fc0ce3878e16.html']
['广东省农村信用社联合社综合办公系统升级实施项目及华为私有云2020年扩容及容灾建设系统设备采购项目Taishan服务器采购竞争性谈判公告'],['2020-11-27'],['2020-12-08'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fc0cd7dae783.html']
['中山市疾病预防控制中心增加突发公共卫生事件应急物资采购项目的磋商公告'],['2020-11-27'],['2020-12-08'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fc0c8db830a5.html']
['信宜产业转移工业园污水处理厂应急池建设工程项目竞争性磋商公告'],['2020-11-27'],['2020-12-09'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fc0c31f6232e.html']
['大成镇水美、禄豪村级生活污水处理设施建设工程竞争性磋商公告'],['2020-11-27'],['2020-12-09'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fc0c284e6c81.html']
['大成镇大成、石屏、塘坳村级生活污水处理设施建设工程竞争性磋商公告'],['2020-11-27'],['2020-12-09'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fc0c212224c8.html']
['（钟落潭社区）人脸识别视频监控项目招标公告'],['2020-11-27'],['2020-12-18'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fc0bc52578f6.html']
['广州番禺职业技术学院英语高级研修班项目竞争性磋商公告'],['2020-11-27'],['2020-12-09'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fc0b8552aa24.html']
['维修电工综合实训室建设竞争性磋商公告'],['2020-11-27'],['2020-12-16'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fc0b0dd0b226.html']
['数控技术应用专业智能制造示范产线建设项目竞争性磋商公告'],['2020-11-27'],['2020-12-15'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fc0b04e066e8.html']
['广州市黄埔区残疾人联合会 黄埔区2021年社区精神康复综合服务中心服务项目招标公告'],['2020-11-27'],['2020-12-18'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fc09c1fd17bd.html']
['生化检测设备以及安全防护设备购置询价采购公告'],['2020-11-27'],['2020-12-03'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fc099ed16d91.html']
['广州市幼儿师范学校团委办公室装修改造工程采购公告'],['2020-11-27'],['2020-12-07'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fc085a9c8ea8.html']
['广州市消防救援支队消防宣传视频拍摄及文学作品制作项目竞争性磋商公告'],['2020-11-27'],['2020-12-09'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fc07b44cf722.html']
['湛江市二十支商业连锁有限公司直营店智能信息设备采购项目招标公告'],['2020-11-27'],['2020-12-18'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fc062fae9b52.html']
['黄埔区人民政府夏港街街道办事处社区服务设施（颐康站）服务项目 (项目编号：440112-202011-101271-0041) 采购需求征求意见公告'],['2020-11-26'],['1970-01-01'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fbf7d950ca12.html']
['中山大学附属第三医院肇庆医院手术室器械及医疗设备补充采购项目招标公告'],['2020-11-26'],['2020-12-17'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fbf7c9648c13.html']
['信宜市2020年度农业水价综合改革项目招标公告'],['2020-11-26'],['2020-12-08'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fbf76b478a57.html']
['信宜市水口镇岭上美丽移民村建设项目竞争性磋商公告'],['2020-11-26'],['2020-12-08'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fbf74725d6af.html']
['毒品爆炸物检测仪采购项目询价采购公告'],['2020-11-26'],['2020-12-02'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fbf5e19df991.html']
['广州市黄埔区人民政府夏港街道办事处 夏港街机关事业单位海关单位排水单元达标工程施工项目竞争性磋商公告'],['2020-11-26'],['2020-12-08'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fbf5e1583c54.html']
['中山市中医院脉管系统成像仪采购项目（第二次） 招标公告'],['2020-11-26'],['2020-12-17'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fbf592c91807.html']
['东环街（大环党校段）路面重修以及排水工程竞争性磋商公告'],['2020-11-26'],['2020-12-09'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fbf580abdb51.html']
['中山火炬开发区大环小区三线整治二次落地管道工程竞争性磋商公告'],['2020-11-26'],['2020-12-09'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fbf574dc119e.html']
['中山火炬开发区大环小区电力线路整治管道竞争性磋商公告'],['2020-11-26'],['2020-12-09'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fbf56d757623.html']
['玉树、天鹿湖社区社工服务站社会工作服务公开招标公告'],['2020-11-26'],['2020-12-17'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fbf56b98a962.html']
['中山跨境电商业务管理及综合服务平台项目监理服务项目招标公告'],['2020-11-26'],['2020-12-24'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fbf2953631e2.html']
['智造系多轴一体化实训室建设招标公告'],['2020-11-27'],['2020-12-21'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fbf0f4310829.html']
['广州市粤威综合加工厂劳动习艺车间设施改造项目采购公告'],['2020-11-25'],['2020-12-04'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fbe2eeada78d.html']
['广东省惠州监狱新冠病毒核酸检测项目竞争性磋商公告'],['2020-11-25'],['2020-12-08'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fbe2e3766d28.html']
['广东高州农村商业银行股份有限公司山美综合办公楼消防工程招标公告'],['2020-11-25'],['2020-12-07'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fbe084335ccd.html']
['广东科贸职业学院2021年纸质中文期刊采购项目采购公告'],['2020-11-24'],['2020-12-03'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fbcd95e75d76.html']
['黄埔区地质灾害治理工程勘查设计、施工、监理承包商库招标项目公开招标公告'],['2020-11-24'],['2020-12-15'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fbcd79c55a63.html']
['电子科技大学中山学院艺术设计实验中心图形工作站采购项目招标公告'],['2020-11-24'],['2020-12-15'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fbcd272ea68f.html']
['中山市第二人民法院档案信息化服务项目（第二次）竞争性磋商公告'],['2020-11-24'],['2020-12-07'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fbcd234881a3.html']
['广东新华发行集团股份有限公司省内（太和仓）运输服务采购项目（包组三第二次重招）公开招标公告'],['2020-11-24'],['2020-12-15'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fbcced53cddd.html']
['重点部位消防感应-视频监控设施高清改造项目招标公告'],['2020-11-24'],['2020-12-15'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fbcca51a73fd.html']
['某船厂营区绿化维护项目（重招）询价采购公告'],['2020-11-24'],['2020-11-30'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fbcc54d78895.html']
['广东省温泉企业公司生产车间电子安全门及电梯拉闸门采购公开招标公告'],['2020-11-24'],['2020-12-16'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fbcc28b0e2bb.html']
['惠州市中大惠亚医院2020年广东省医疗保障信息平台接口项目公开招标公告'],['2020-11-24'],['2020-12-15'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fbcb78b2f577.html']
['广州市从化区棋杆粮食管理所 从化区粮食储备加工中心建设工程仓储设备及配套安装采购项目招标公告'],['2020-11-24'],['2020-12-15'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fbca9bb86f75.html']
['省定贫困村创建社会主义新农村示范村上磨村道路拓宽工程招标公告'],['2020-11-24'],['2020-12-02'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fbc75fc0ae13.html']
['广东技术师范大学东校区校园室外公共区域无线网络项目公开招标公告'],['2020-11-23'],['2020-12-15'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fbb7e2f436ac.html']
['惠州市第三人民医院磁共振等医疗设备维保项目（第三次招标）竞争性磋商公告'],['2020-11-23'],['2020-12-04'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fbb7d484689d.html']
['中山市古镇人民医院口腔颌面锥形束计算体层摄影设备采购项目招标公告'],['2020-11-23'],['2020-12-15'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fbb75d535436.html']
['中山市跨境电商服务运营支撑系统建设、三级交换节点托管及运营维护服务项目招标公告'],['2020-11-23'],['2020-12-22'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fbb739a50d02.html']
['中山市跨境电商业务信息系统数据传输独立二级交换节点托管及运营维护服务项目招标公告'],['2020-11-23'],['2020-12-21'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fbb7371266bc.html']
['黄埔康苑大楼2021年度物业管理服务采购项目采购公告'],['2020-11-23'],['2020-12-02'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fbb67a4a4acc.html']
['广东高州农村商业银行股份有限公司府前南分理处室内装修项目（新网点）工程招标公告'],['2020-11-23'],['2020-12-04'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fbb5ede78c07.html']
['广东烟草湛江市有限公司徐闻分公司卷烟打假打私涉案物资仓库与物流对接点咨询项目招标公告'],['2020-11-23'],['2020-12-14'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fbb0902ea69c.html']
['中山大学2021-2022年进口（含港澳台）原版报刊采购项招标公告'],['2020-11-20'],['2020-12-11'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fb7d1d706e49.html']
['中山大学2021-2022年国内版报刊采购项目招标公告'],['2020-11-20'],['2020-12-11'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fb7cd59c5874.html']
['广州市天河区消防救援大队厨具采购项目竞争性磋商公告'],['2020-11-20'],['2020-12-02'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fb7c577dd6b9.html']
['信宜市南药产业培育园区（六运黄京塘）土地平整工程竞争性磋商公告'],['2020-11-20'],['2020-12-01'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fb78bddc5a86.html']
['中山大学校园网和数据中心机房运维服务外包(2021年度)竞争性磋商公告'],['2020-11-20'],['2020-12-01'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fb760dc7a114.html']
['广东省集中式人力资源和社会保障一体化信息系统项目对接粤省事和政务服务网 开发包招标公告'],['2020-11-19'],['2020-12-10'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fb6477e5b4b6.html']
['广东省集中式人力资源和社会保障一体化信息系统项目职业技能提升培训补贴申领管理系统开发包招标公告'],['2020-11-19'],['2020-12-10'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fb64390b4157.html']
['广州市岑村强戒所戒治中心禁毒教育布展项目竞争性磋商公告'],['2020-11-19'],['2020-12-02'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fb6357ee0de1.html']
['中山市石岐街道社区戒毒社区康复社工服务采购项目招标公告'],['2020-11-19'],['2020-12-10'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fb631477aa8b.html']
['广州市医疗保障局采购综合档案外包服务项目竞争性磋商公告'],['2020-11-19'],['2020-12-01'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fb62d37920c4.html']
['信宜市径口初级中学购置校园监控设备项目招标公告'],['2020-11-19'],['2020-11-27'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fb62d13072ef.html']
['广州市黄埔区中医医院物业管理业务外包合作项目协议供货商备选单位比选采购公告'],['2020-11-19'],['2020-11-25'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fb61f1379757.html']
['广东医科大学购置多功能酶标仪等科研设备项目招标信息公告'],['2020-11-18'],['2020-12-10'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fb4eed7bb8a7.html']
['广州市消防救援支队全媒体工作中心人员驻点服务项目谈判邀请函'],['2020-11-18'],['2020-11-25'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fb4ecb9316e4.html']
['惠州市第三人民医院干部考核管理系统建设项目竞争性磋商公告'],['2020-11-18'],['2020-11-30'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fb4ea1d23f20.html']
['犬粮物资采购项目公开招标公告'],['2020-11-18'],['2020-12-09'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fb4e58f1dfa9.html']
['广东省江门监狱餐厅环保植物油采购项目谈判邀请函'],['2020-11-18'],['2020-12-08'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fb4d63465e7e.html']
['美的明湖地块东侧支路建设工程竞争性磋商公告'],['2020-11-18'],['2020-12-01'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fb4ce8b13d80.html']
['佛山市消防救援支队消防船购置项目招标公告'],['2020-11-18'],['2020-12-09'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fb494b3537c6.html']
['广州市消防救援支队2020年信息化建设咨询设计服务项目竞争性磋商公告'],['2020-11-18'],['2020-12-01'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fb49388ca6e3.html']
['广东省环境保护技术学校集团化办学环境类设备采购项目招标公告'],['2020-11-17'],['2020-12-08'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fb3b3895653e.html']
['惠州市中大惠亚医院心血管成像系统（DSA）三年人工保服务项目公开招标公告'],['2020-11-17'],['2020-12-09'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fb39f153718e.html']
['中山市殡仪馆零散类殡葬用品供应商招标公告'],['2020-11-17'],['2020-12-09'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fb397da4a292.html']
['广东省社会保险基金管理局办公大楼整体无线网络接入设备采购（重招）竞争性磋商公告'],['2020-11-17'],['2020-11-30'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fb38ac793c95.html']
['广东省技师学院智能飞行器平台教学设备采购公开招标公告'],['2020-11-17'],['2020-12-08'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5fb3795255dc0.html']
