公告标题,序号,发布日期,跳转链接
['广州市市场监督管理局小龙虾引发横纹肌溶解综合症风险因素专项调研项目'],[招标编号0877-20GZTP01FF679,(2020-12-07),['http://www.gztpc.com//tender/show?id=2c92936775b4e79601763aed0ee1035d']
['中国（广州）知识产权保护中心2020年信息化建设项目监理采购项目招标公告'],[招标编号0877-20GZTP01FL747,(2020-12-04),['http://www.gztpc.com//tender/show?id=2c92936775b4e79601762cea45ec0304']
['广州卫生职业技术学院全体离退休教职工2021年元旦春节慰问品购置项目（重招）招标公告'],[招标编号0877-20GZTP01FH708-1,(2020-12-04),['http://www.gztpc.com//tender/show?id=2c92936775b4e79601762cc964750303']
['广州图书馆租赁馆外储存书库项目单一来源谈判公告'],[招标编号0877-20GZTP01FG752,(2020-12-04),['http://www.gztpc.com//tender/show?id=2c92936775b4e79601762c84fde90301']
['广东省能源集团有限公司网络与信息安全年度服务项目公开招标公告'],[招标编号0877-20GZTP04G481,(2020-12-04),['http://www.gztpc.com//tender/show?id=2c92936775b4e79601762c66bcca02fe']
['广州市市场监督管理局2021年-2022年舆情信息综合服务采购项目'],[招标编号0877-20GZTP01FF764 ,(2020-12-03),['http://www.gztpc.com//tender/show?id=2c92936775b4e7960176281e78ce02e2']
['广东省第二人民医院应急病区改造智慧院区与医疗信息化基础建设项目'],[招标编号0877-20GZTP05F756,(2020-12-03),['http://www.gztpc.com//tender/show?id=2c92936775b4e796017627b0589902dd']
['广东省监狱管理局女子监狱1000人基础设施建设项目-业务用房地基、实体、环境监测、常规建筑材料检测服务采购项目招标公告'],[招标编号0877-20GZTP04L721,(2020-12-03),['http://www.gztpc.com//tender/show?id=2c92936775b4e796017627afac9a02dc']
['广州市轻工高级技工学校工会委员会2021年工会会员节日慰问品采购招标公告'],[招标编号0877-20GZTP01FH741,(2020-12-03),['http://www.gztpc.com//tender/show?id=2c92936775b4e7960176278374ed02d8']
['东莞市珠江啤酒有限公司和阳江珠江啤酒分装有限公司购槽罐车共四台公开招标公告'],[招标编号0877-20GZTP04G743,(2020-12-03),['http://www.gztpc.com//tender/show?id=2c92936775b4e7960176270cbe0502d1']
['广州市黄埔区妇幼保健院高清电子阴道镜采购项目'],[招标编号0877-20GZTP01K370 ,(2020-12-03),['http://www.gztpc.com//tender/show?id=2c92936775b4e796017626531ddc02c5']
['南部战区空军医院实验室改造施工装修工程项目(重招) '],[招标编号0877-20GZTP05F622-1 ,(2020-12-03),['http://www.gztpc.com//tender/show?id=2c92936775b4e7960176261f09cb02c0']
['官坑村综治中心视频监控系统升级建设项目竞争性磋商公告'],[招标编号0877-20GZTP01FH745,(2020-12-02),['http://www.gztpc.com//tender/show?id=2c92936775b4e7960176231ee3ea02ae']
['2021-2022年广州图书馆文化艺术服务项目公开招标公告'],[招标编号0877-20GZTP01FG753,(2020-12-02),['http://www.gztpc.com//tender/show?id=2c92936775b4e79601762317e9e302ad']
['阳江海上风电实验室第四批科研设备采购项目竞争性磋商公告'],[招标编号0877-20GZTP01FN762,(2020-12-02),['http://www.gztpc.com//tender/show?id=2c92936775b4e796017622cf6e7302a8']
['中国电器科学研究院股份有限公司自然加速试验设备采购项目招标公告'],[招标编号0877-20GZTP04G735,(2020-12-02),['http://www.gztpc.com//tender/show?id=2c92936775b4e796017622bf3f6402a7']
['中国电器科学研究院股份有限公司服役环境微观检测系统设备采购项目招标公告'],[招标编号0877-20GZTP04G734,(2020-12-02),['http://www.gztpc.com//tender/show?id=2c92936775b4e796017622bc884202a6']
['中国电器科学研究院股份有限公司服役环境宏观检测系统及视频监控系统采购'],[招标编号0877-20GZTP04G733,(2020-12-02),['http://www.gztpc.com//tender/show?id=2c92936775b4e796017622b7f93f02a4']
['阳江海上风电实验室科研设备采购项目（重招）竞争性磋商公告'],[招标编号0877-20GZTP01FN541-1,(2020-12-02),['http://www.gztpc.com//tender/show?id=2c92936775b4e796017622b03e3302a3']
['广东省第二人民医院民航院区食堂食材采购服务项目 '],[招标编号0877-20GZTP04F720,(2020-12-02),['http://www.gztpc.com//tender/show?id=2c92936775b4e796017622a5620a02a2']
['省医招采调〔2020〕172号-广东省人民医院信息项目建设中期评估会会务服务采购项目市场调研公告'],[招标编号/,(2020-12-01),['http://www.gztpc.com//tender/show?id=2c92936775b4e79601761d86924e027d']
['广东省四会监狱“十二五”项目肇庆片区域中心医院建设（彩色多普勒超声波诊断仪）采购项目(重启) '],[招标编号0877-20GZTP01F585 ,(2020-12-01),['http://www.gztpc.com//tender/show?id=2c92936775b4e79601761d826fa2027c']
['中华人民共和国第一届职业技能大赛竞赛增材制造、工业机械、制造团队挑战赛、塑料模具工程、数控车（国赛精选）、数控铣（国赛精选）项目设备设施支持单位遴选项目（项目编号：0877-20GZTP05W761）遴选公告'],[招标编号0877-20GZTP05W761,(2020-12-01),['http://www.gztpc.com//tender/show?id=2c92936775b4e79601761d353fdc0279']
['省医招采调〔2020〕171号-广东省人民医院GPU服务器采购项目市场调研公告'],[招标编号/,(2020-11-30),['http://www.gztpc.com//tender/show?id=2c92936775b4e7960176189b0dd90260']
['省医招采调〔2020〕170号-广东省人民医院医保专线租用项目市场调研公告'],[招标编号/,(2020-11-30),['http://www.gztpc.com//tender/show?id=2c92936775b4e796017618997125025f']
['广州特种承压设备检测研究院本部大楼及各驻外点零星维修服务项目（重招）'],[招标编号0877-20GZTP01FL652-1 ,(2020-11-30),['http://www.gztpc.com//tender/show?id=2c92936775b4e7960176183b597a025c']
['广州市水上运动管理中心青少年体育器材购置项目招标公告'],[招标编号0877-20GZTP01H713,(2020-11-30),['http://www.gztpc.com//tender/show?id=2c92936775b4e796017617fa4782025a']
['小龙虾引发横纹肌溶解综合症风险因素专项调研项目单一来源采购公示'],[招标编号/,(2020-11-27),['http://www.gztpc.com//tender/show?id=2c92936775b4e796017621f3b0ca029e']
['广东省2021年春季航空消防直升机租用（KA－32/MI-171）采购项目'],[招标编号0877-20GZTP01F697 ,(2020-11-27),['http://www.gztpc.com//tender/show?id=2c92936775b4e7960176095ea4490217']
['省医招采调〔2020〕169号-广东省人民医院东川门诊大堂自动扶梯设备采购安装项目市场调研公告'],[招标编号/,(2020-11-27),['http://www.gztpc.com//tender/show?id=2c92936775b4e796017609358c9d0216']
['广东省林业局2021-2023年政策性森林保险承保机构采购项目'],[招标编号0877-20GZTP01F700 ,(2020-11-27),['http://www.gztpc.com//tender/show?id=2c92936775b4e796017608fcdc970213']
['广东省第二人民医院重大疫情救治基地设备（第三批）应急公开采购项目'],[招标编号0877-20GZTP01F748 ,(2020-11-27),['http://www.gztpc.com//tender/show?id=2c92936775b4e7960176089faf53020d']
['白云区政府信息化专家库建立服务项目'],[招标编号0877-20GZTP01FK712 ,(2020-11-27),['http://www.gztpc.com//tender/show?id=2c92936775b4e7960176086d9dd0020b']
['广州市轻工高级技工学校南北校区课室多媒体更新改造、无线网络及监控设备维修项目（重招）招标公告'],[招标编号0877-20GZTP01FH693-1,(2020-11-27),['http://www.gztpc.com//tender/show?id=2c92936775b4e79601760862414f0209']
['省医招采调〔2020〕168号-广东省人民医院惠福分院电梯更换设备采购安装项目市场调研公告'],[招标编号/,(2020-11-27),['http://www.gztpc.com//tender/show?id=2c92936775b4e79601760813830e0205']
['省医招采调〔2020〕167号-广东省人民医院高配信息设备采购项目第二次市场调研公告'],[招标编号/,(2020-11-27),['http://www.gztpc.com//tender/show?id=2c92936775b4e79601760810f0240203']
['广州市残疾人安养院厨房外包项目公开招标公告'],[招标编号0877-20GZTP01H705,(2020-11-27),['http://www.gztpc.com//tender/show?id=2c92936775b4e7960176080f02330202']
['中国共产主义青年团广州市黄埔区委员会广州市黄埔区青年创新创业孵化基地项目运营服务竞争性磋商'],[招标编号0877-20GZTP01FL635,(2020-11-26),['http://www.gztpc.com//tender/show?id=2c92936775b4e7960176046f6fc601e9']
['省医招采调〔2020〕166号-广东省人民医院GPU服务器及科研电脑采购项目市场调研公告'],[招标编号/,(2020-11-26),['http://www.gztpc.com//tender/show?id=2c92936775b4e7960176041241e901e5']
['省医招采调（2020）165号-广东省人民医院2020年第7批医疗设备采购项目市场调研公告'],[招标编号/,(2020-11-26),['http://www.gztpc.com//tender/show?id=2c92936775b4e796017604109bb801e4']
['省医招采调（2020）164号-广东省人民医院第二批心脏外科手术器械采购项目调研公告'],[招标编号/,(2020-11-26),['http://www.gztpc.com//tender/show?id=2c92936775b4e7960176040d4e1701e3']
['阳江市第三期社会治安视频监控系统及中小学幼儿园主要出入口视频监控系统项目维护项目单一来源采购公告'],[招标编号0877-20GZTP01N740,(2020-11-26),['http://www.gztpc.com//tender/show?id=2c92936775b4e796017603e46fe801e1']
['威凯检测技术有限公司温度冲击箱采购项目招标公告'],[招标编号0877-20GZTP04G683,(2020-11-26),['http://www.gztpc.com//tender/show?id=2c92936775b4e79601760382fe5a01de']
['其他购置经费-2021年广州动物园专用材料采购项目竞争性磋商公告'],[招标编号0877-20GZTP01H744,(2020-11-26),['http://www.gztpc.com//tender/show?id=2c92936775b4e796017602e7309501db']
['广州图书馆租赁馆外储存书库项目单一来源公示'],[招标编号/,(2020-11-26),['http://www.gztpc.com//tender/show?id=2c92936775b4e796017602e2d6ac01da']
['广州市公用事业高级技工学校工会委员会2021年教职工生日蛋糕券采购项目招标公告'],[招标编号0877-20GZTP01FR726,(2020-11-26),['http://www.gztpc.com//tender/show?id=2c92936775b4e79601760282002601d6']
['省医招采调〔2020〕163号-广东省人民医院远程心血管（含介入）诊疗中心二期项目市场调研公告'],[招标编号/,(2020-11-25),['http://www.gztpc.com//tender/show?id=2c92936775b4e7960175fed2ccea01b4']
['2020年越秀区少年儿童体校体育器材项目 '],[招标编号0877-20GZTP01K718 ,(2020-11-25),['http://www.gztpc.com//tender/show?id=2c92936775b4e7960175fdbbadd101a9']
['省医招采调〔2020〕162号-广东省人民医院采购实验室场地气模建筑第二次市场调研公告'],[招标编号/,(2020-11-25),['http://www.gztpc.com//tender/show?id=2c92936775b4e7960175fcff77dd0199']
['中国电器科学研究院股份有限公司电磁环境监测设备采购项目招标公告'],[招标编号0877-20GZTP04G736,(2020-11-24),['http://www.gztpc.com//tender/show?id=2c92936775b4e7960175f96ddda4017c']
['广东省人民医院血管造影机设备维修保养服务项目'],[招标编号0877-20GZTP04G657,(2020-11-24),['http://www.gztpc.com//tender/show?id=2c92936775b4e7960175f955539e017a']
['医院内外网络安全升级项目公开招标公告'],[招标编号0877-20GZTP01N662,(2020-11-24),['http://www.gztpc.com//tender/show?id=2c92936775b4e7960175f935efa70177']
['阳江市人民医院医疗设备采购项目（20-13）公开招标公告'],[招标编号0877-20GZTP01N738,(2020-11-24),['http://www.gztpc.com//tender/show?id=2c92936775b4e7960175f8edee0c0175']
['阳江市人民医院医疗设备采购项目（20-14）招标公告'],[招标编号0877-20GZTP05N739,(2020-11-23),['http://www.gztpc.com//tender/show?id=2c92936775b4e7960175f4889eaf0171']
['广东省航空护林站（广东省林火卫星监测中心）通信保障设备项目'],[招标编号0877-20GZTP01FF717 ,(2020-11-23),['http://www.gztpc.com//tender/show?id=2c92936775b4e7960175f47b9204016f']
['阳江市江城区人民法院饭堂食材配送项目公开招标公告'],[招标编号0877-20GZTP01N727,(2020-11-23),['http://www.gztpc.com//tender/show?id=2c92936775b4e7960175f46ad313016e']
['广东省四会监狱新礼堂大屏显示系统建设项目'],[招标编号0877-20GZTP01F725 ,(2020-11-23),['http://www.gztpc.com//tender/show?id=2c92936775b4e7960175f463a67f016d']
['广州卫生职业技术学院全体离退休教职工2021年元旦春节慰问品购置项目'],[招标编号0877-20GZTP01FH708 ,(2020-11-23),['http://www.gztpc.com//tender/show?id=2c92936775b4e7960175f412fd9d016c']
['广东省二沙体育训练中心体能训练器材托管维保项目（重招）'],[招标编号0877-20GZTP01FF535-2,(2020-11-23),['http://www.gztpc.com//tender/show?id=2c92936775b4e7960175f3b846090162']
['中华人民共和国第一届职业技能大赛《轨道车辆技术》项目竞赛设备采购项目竞争性磋商公告'],[招标编号0877-20GZTP01H704 ,(2020-11-20),['http://www.gztpc.com//tender/show?id=2c92936775b4e7960175e4d6bd6e0147']
['广州特种承压设备检测研究院厨房设备购买及改造项目'],[招标编号0877-20GZTP01FL702 ,(2020-11-20),['http://www.gztpc.com//tender/show?id=2c92936775b4e7960175e4c37cc30145']
['广州动物园安全风险评估服务项目竞争性磋商公告'],[招标编号0877-20GZTP01FG730,(2020-11-20),['http://www.gztpc.com//tender/show?id=2c92936775b4e7960175e444d2dc012a']
['广州军区善后办贤庄经适房前期物业管理服务项目 '],[招标编号0877-20GZTP04F595 ,(2020-11-20),['http://www.gztpc.com//tender/show?id=2c92936775b4e7960175e355825a0126']
['广州残疾人数字科技就业培训项目公开招标公告'],[招标编号0877-20GZTP04H706,(2020-11-19),['http://www.gztpc.com//tender/show?id=2c92936775b4e7960175e07df3b10113']
['广州市高级技工学校第一届职业技能大赛原型制作项目设备与耗材采购项目招标公告'],[招标编号0877-20GZTP01FH707,(2020-11-19),['http://www.gztpc.com//tender/show?id=2c92936775b4e7960175dfe43dea010d']
['省医招采调〔2020〕161号-广东省人民医院方舱CT光纤建设项目市场调研公告'],[招标编号/,(2020-11-19),['http://www.gztpc.com//tender/show?id=2c92936775b4e7960175dfde7cbb010b']
['南部战区空军医院实验室改造施工装修工程项目'],[招标编号0877-20GZTP05F622 ,(2020-11-19),['http://www.gztpc.com//tender/show?id=2c92936775b4e7960175dfcfe95f010a']
['广州市增城区新塘镇2020年除“四害”病媒生物防制服务项目招标公告'],[招标编号0877-20GZTP01FH451,(2020-11-19),['http://www.gztpc.com//tender/show?id=2c92936775b4e7960175df719aab0104']
['省医招采调（2020）160号-广东省人民医院体位垫耗材采购项目调研公告'],[招标编号/,(2020-11-19),['http://www.gztpc.com//tender/show?id=2c92936775b4e7960175de806a3a00fa']
['省医招采调（2020）159号-广东省人民医院手术床体位附件耗材采购项目调研公告'],[招标编号/,(2020-11-19),['http://www.gztpc.com//tender/show?id=2c92936775b4e7960175de7ceeee00f9']
['广东省广州监狱设备采购项目（重招）'],[招标编号0877-20GZTP01FK703-1,(2020-11-19),['http://www.gztpc.com//tender/show?id=2c92936775b4e7960175de44a83800f7']
['广州市海珠区人民政府昌岗街道办事处居家养老服务项目更正公告'],[招标编号0877-20GZTP01FF678,(2020-11-19),['http://www.gztpc.com//tender/show?id=2c92936775b4e7960175de359cab00f5']
['省医招采调（2020）158号-广东省人民医院硬质器械灭菌盒耗材采购项目市场调研公告'],[招标编号/,(2020-11-18),['http://www.gztpc.com//tender/show?id=2c92936775b4e7960175dac4e1fa00e3']
['湛江电力有限公司锅炉制粉系统设备委外大修工程公开招标公告'],[招标编号0877-20GZTP04G723,(2020-11-18),['http://www.gztpc.com//tender/show?id=2c92936775b4e7960175d9fc653c00da']
['湛江电力有限公司#1 锅炉壁式再热器改造工程公开招标公告'],[招标编号0877-20GZTP04G722,(2020-11-18),['http://www.gztpc.com//tender/show?id=2c92936775b4e7960175d9fbc3a900d9']
['省医招采调〔2020〕156号-广东省人民医院灭菌耗材采购项目市场调研公告'],[招标编号/,(2020-11-17),['http://www.gztpc.com//tender/show?id=2c92936775b4e7960175da23b6e500dc']
['广州动物园公众责任保险采购项目竞争性磋商公告'],[招标编号0877-20GZTP01FG719,(2020-11-17),['http://www.gztpc.com//tender/show?id=2c92936775b4e7960175d56cb5f400c2']
['《广州市标准国际化创新型城市示范创建项目》2020年度标准资料更新竞争性磋商公告'],[招标编号0877-20GZTP01H627,(2020-11-17),['http://www.gztpc.com//tender/show?id=2c92936775b4e7960175d56a26b000c1']
['新市街食材配送采购项目'],[招标编号0877-20GZTP01K670 ,(2020-11-17),['http://www.gztpc.com//tender/show?id=2c92936775b4e7960175d4ff630300be']
['广州市轻工高级技工学校南校区楼群外围布线系统勘察、测评、废旧线路拆除及恢复项目招标公告'],[招标编号0877-20GZTP01FH694,(2020-11-17),['http://www.gztpc.com//tender/show?id=2c92936775b4e7960175d4e58ce300bd']
['广州特种承压设备检测研究院节能传热国检中心和气瓶检测站业务场地租赁项目 '],[招标编号0877-20GZTP01FL691,(2020-11-17),['http://www.gztpc.com//tender/show?id=2c92936775b4e7960175d4d6fd7d00bc']
['省医招采调〔2020〕157号-广东省人民医院平洲分院门诊首层室外负压方舱病房工程市场调研公告'],[招标编号/,(2020-11-17),['http://www.gztpc.com//tender/show?id=2c92936775b4e7960175d453bb4700b5']
['广州市轻工高级技工学校南北校区课室多媒体更新改造、无线网络及监控设备维修项目招标公告'],[招标编号0877-20GZTP01FH693,(2020-11-17),['http://www.gztpc.com//tender/show?id=2c92936775b4e7960175d4503b3c00b3']
['广州卫生职业技术学院天河校区实验室物资购置项目（重招）招标公告'],[招标编号0877-20GZTP01FH500-1,(2020-11-17),['http://www.gztpc.com//tender/show?id=2c92936775b4e7960175d426346000b0']
['中华人民共和国第一届职业技能大赛竞赛增材制造项目设备设施支持单位遴选项目（2）遴选公告（项目编号：0877-20GZTP05W715）'],[招标编号0877-20GZTP05W715,(2020-11-16),['http://www.gztpc.com//tender/show?id=2c92936775b4e7960175d060b949009f']
['中华人民共和国第一届职业技能大赛竞赛数控车项目设备设施支持单位遴选项目（2）遴选公告（项目编号：0877-20GZTP05W714）'],[招标编号0877-20GZTP05W714,(2020-11-16),['http://www.gztpc.com//tender/show?id=2c92936775b4e7960175d05cf858009e']
['广州市市场监督管理局一网通平台操作指引视频制作项目'],[招标编号0877-20GZTP01FF699 ,(2020-11-16),['http://www.gztpc.com//tender/show?id=2c92936775b4e7960175cf244fc40099']
['广州市番禺区人民政府大龙街道办事处消防、监控设备采购项目'],[招标编号0877-20GZTP01FF690 ,(2020-11-13),['http://www.gztpc.com//tender/show?id=2c92936775b4e7960175e455d13b0130']
['广州市番禺区人民政府大龙街道办事处家具采购项目'],[招标编号0877-20GZTP01FF689 ,(2020-11-13),['http://www.gztpc.com//tender/show?id=2c92936775b4e7960175e45496b2012f']
[' 广州市番禺区人民政府大龙街道办事处档案系统开发项目'],[招标编号0877-20GZTP01FF687 ,(2020-11-13),['http://www.gztpc.com//tender/show?id=2c92936775b4e7960175e4532a01012c']
['阳江市中医医院医疗设备采购项目（20-1）招标公告'],[招标编号0877-20GZTP05N711,(2020-11-13),['http://www.gztpc.com//tender/show?id=2c92936775b4e7960175c1141e58004c']
['广东省第二人民医院发热门诊应急检验设备采购项目'],[招标编号0877-20GZTP01F710 ,(2020-11-13),['http://www.gztpc.com//tender/show?id=2c92936775b4e7960175c0f5926f004b']
['湛江电力有限公司#1机组电袋复合除尘器滤袋采购公开招标公告'],[招标编号0877-20GZTP04G584,(2020-11-13),['http://www.gztpc.com//tender/show?id=2c92936775b4e7960175c08e513c0046']
['湛江电力有限公司仓库已报废固定资产（水泵、变压器）等处置转让公告'],[招标编号/,(2020-11-13),['http://www.gztpc.com//tender/show?id=2c92936775b4e7960175c05d84a10045']
['广州市天河区司法局公共法律服务项目招标公告'],[招标编号0877-20GZTP01FL685,(2020-11-13),['http://www.gztpc.com//tender/show?id=2c92936775b4e7960175bf5e7bd3003f']
['中国电器科学研究院股份有限公司兼容性测试设备采购项目招标公告'],[招标编号0877-20GZTP04G661,(2020-11-13),['http://www.gztpc.com//tender/show?id=2c92936775b4e7960175bf411b83003c']
['中国电器科学研究院股份有限公司商用电器试验设备采购项目招标公告'],[招标编号0877-20GZTP04G682,(2020-11-13),['http://www.gztpc.com//tender/show?id=2c92936775b4e7960175bf2a623f003a']
['省医招采调〔2020〕155号-广东省人民医院线路租用项目市场调研公告'],[招标编号/,(2020-11-12),['http://www.gztpc.com//tender/show?id=2c92936775b4e7960175bbb9b5d3002b']
['省医招采调〔2020〕154号-广东省人民医院冠心病防治研究重点实验室电脑设备采购项目第二次市场调研公告'],[招标编号/,(2020-11-12),['http://www.gztpc.com//tender/show?id=2c92936775b4e7960175bbb80d77002a']
['省医招采调〔2020〕153号-广东省人民医院韦氏智力和记忆测验第四版中文版采购项目第二次调研公告'],[招标编号/,(2020-11-12),['http://www.gztpc.com//tender/show?id=2c92936775b4e7960175bbb6e5f60029']
['广东省第二人民医院电子消化内镜系统采购项目 '],[招标编号0877-20GZTP04F701,(2020-11-12),['http://www.gztpc.com//tender/show?id=2c92936775b4e7960175bb9477df0027']
['广东省第二人民医院医务社工服务项目 '],[招标编号0877-20GZTP04F684 ,(2020-11-12),['http://www.gztpc.com//tender/show?id=2c92936775b4e7960175bb93547b0026']
['广东省广州监狱设备采购项目'],[招标编号0877-20GZTP01FK703,(2020-11-12),['http://www.gztpc.com//tender/show?id=2c92936775b4e7960175bb9066ce0025']
['广东省番禺监狱警察职工伙房环境及功能完善改造设备采购项目公开招标公告'],[招标编号0877-20GZTP01L644,(2020-11-11),['http://www.gztpc.com//tender/show?id=2c92936775b4e7960175b65bfb150008']
['湛江电力有限公司循环水泵房清污机改造设备采购公开招标公告'],[招标编号ZJPT017409,(2020-11-11),['http://www.gztpc.com//tender/show?id=2c92936775b4e7960175b6465c0f0007']
['广州市白云区人民政府白云湖街道办事处居家养老综合服务平台采购项目竞争性磋商公告'],[招标编号0877-20GZTP01FL401,(2020-11-11),['http://www.gztpc.com//tender/show?id=2c92936775b4e7960175b515a0b10000']
['阳江市人民医院医疗设备采购项目（20-12）公开招标公告'],[招标编号0877-20GZTP01N692,(2020-11-10),['http://www.gztpc.com//tender/show?id=2c92936771118f4a0175b1756b071140']
['广州市轻工高级技工学校东校区文化建设展示项目竞争性磋商公告'],[招标编号0877-20GZTP01FH598,(2020-11-10),['http://www.gztpc.com//tender/show?id=2c92936771118f4a0175b16322e7113f']
['广州市海珠区老年人照顾需求等级评估项目'],[招标编号0877-20GZTP01K576 ,(2020-11-10),['http://www.gztpc.com//tender/show?id=2c92936771118f4a0175b043088c1134']
['广州市知识产权运营服务体系建设中央专项资金项目绩效评价服务采购项目'],[招标编号0877-20GZTP01FF597 ,(2020-11-09),['http://www.gztpc.com//tender/show?id=2c92936775b4e7960175e33462ef0123']
['湛江电力有限公司#1锅炉壁式再热器改造物资采购國內公开招标公告'],[招标编号0877-20GZTP04G668 ,(2020-11-09),['http://www.gztpc.com//tender/show?id=2c92936771118f4a0175ace7c8001124']
['广州市体育彩票网点形象提档升级设计服务项目招标公告'],[招标编号0877-20GZTP01FH639,(2020-11-09),['http://www.gztpc.com//tender/show?id=2c92936771118f4a0175ac7bde641120']
['广州市白云区人民政府大源街道办事处居家养老综合服务平台采购项目招标公告'],[招标编号0877-20GZTP01FL649,(2020-11-09),['http://www.gztpc.com//tender/show?id=2c92936771118f4a0175ac0e4474111a']
['广州市消委会官网官微2021年运营建设服务采购项目招标公告'],[招标编号0877-20GZTP01FL673 ,(2020-11-09),['http://www.gztpc.com//tender/show?id=2c92936771118f4a0175ab6e06981113']
['广东省第二人民医院高强度超声聚焦科研及辅助系统等医疗设备采购项目 '],[招标编号0877-20GZTP04F648,(2020-11-09),['http://www.gztpc.com//tender/show?id=2c92936771118f4a0175aa8385501107']
['省医招采调〔2020〕152号-广东省人民医院病理流程管理系统维保项目调研公告'],[招标编号/,(2020-11-06),['http://www.gztpc.com//tender/show?id=2c92936771118f4a01759cf6f45710c6']
['省医招采调〔2020〕151号-广东省人民医院数字病理切片扫描系统维保项目调研公告'],[招标编号/,(2020-11-06),['http://www.gztpc.com//tender/show?id=2c92936771118f4a01759cf6089610c5']
