标号,招标项目,时间,跳转链接
['GZQS2020FC11119SH'],['韶关市第一中学学生课桌椅定点采购供应商资格选取项目竞争性磋商公告'],['[2020-11-27]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20334']
['GZQS2020HX11088Z'],['广宁县疾病预防控制中心流调处置设备采购项目采购公告'],['[2020-11-27]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20324']
['GZQS2020HC10034'],['中华人民共和国天河出入境边防检查站办公楼配套设施设备采购项目竞争性磋商公告'],['[2020-11-27]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20323']
['GZQS2020FG11040'],['2021年至2022年监理巡查及建设工程质量安全监督执法随机抽检服务项目公开招标公告'],['[2020-11-27]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20322']
['GZQS2020FC11111HZ'],['2020年化州市桉树改造补助项目 竞争性磋商公告'],['[2020-11-27]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20321']
['440200-202009-217008-0011'],['韶关市公安局新区分局建设刑侦电子物证实验室项目中标公告'],['[2020-11-27]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20320']
['GZQS2020HC11132'],['广州市黄埔区铁英小学人工智能科创室专用装备采购项目竞争性磋商公告'],['[2020-11-27]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20319']
['GZQS2020HX11131'],['封开县畜牧兽医局重大动物疫病防控工作物资采购项目采购公告'],['[2020-11-27]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20402']
['GZQS2020FC11078'],['九佛街绿化美化服务项目监理竞争性磋商公告'],['[2020-11-27]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20318']
['GZQS2020FG10017'],['佛山市三水区乐平镇道路（三水大道、塘西大道、乐大线）绿化养护及环卫保洁服务项目公开招标公告'],['[2020-11-27]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20312']
['441283-202011-164212-0012'],['肇庆市高要区新桥镇中心小学智慧黑板采购项目公开招标公告'],['[2020-11-26]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20310']
['441226-202011-dq054-0027'],['广东省德庆县新圩镇官车村委会六饭堂村等6个小型崩塌地质灾害应急治理工程竞争性磋商公告'],['[2020-11-26]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20309']
['GZQS2020HC11127'],['广州开发区外国语学校（知识城中学）书架采购项目竞争性磋商公告'],['[2020-11-26]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20307']
['GZQS2020GC11120SH'],['广东省南方技师学院板房办公室安装项目竞争性磋商公告'],['[2020-11-26]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20304']
['GZQS2020HC11121'],['广州市黄埔区天誉小学人工智能科创室专用装备采购项目竞争性磋商公告'],['[2020-11-26]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20303']
['GZQS2001GC07022HZ'],['化州市“十三五”迎国评省养普通国省道路况提升病害处治工程 竞争性磋商公告'],['[2020-11-25]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20300']
['GZQS2020HX11114M'],['广东肇庆中学体育馆辅助屏建设项目采购公告'],['[2020-11-25]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20360']
['GZQS2020HG10066M'],['兴宁市永和镇仁里村分布式光伏发电项目(五期）公开招标公告'],['[2020-11-25]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20299']
['GZQS2020HC11123'],['广州市黄埔区天景小学人工智能科创室专用装备采购项目竞争性磋商公告'],['[2020-11-25]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20298']
['GZQS2020FG10077'],['综合保障社会化服务项目公开招标公告'],['[2020-11-25]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20295']
['GZQS2020HG11070S'],['云东海街道板房采购安装项目公开招标公告'],['[2020-11-25]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20294']
['GZQS2001FG10050Q'],['郁南县农村信用合作联社2020年员工集中健康体检项目（二次招标）招标公告'],['[2020-11-25]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20292']
[''],['32568部队曲江营区零星整修改造项目 施工招标 招标公告'],['[2020-11-24]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20289']
[''],['32568部队乐昌营区零星整修改造项目 施工招标 招标公告'],['[2020-11-24]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20288']
['GZQS2020FC11113SH'],['韶关市第二污水处理厂向公众开放布展服务项目（一期）竞争性磋商公告'],['[2020-11-24]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20287']
[''],['32568部队曲江营区变压器迁移安装及乐昌营区高压线路改造工程 施工招标 招标公告'],['[2020-11-24]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20286']
['GZQS2020HC11108'],['广州市黄埔区新港小学人工智能科创室专用装备采购项目竞争性磋商公告'],['[2020-11-24]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20283']
['440281-202011-301116-0031'],['乐昌市沙坪镇沙坪行政村下坪自然村生态美丽宜居乡村建设工程竞争性磋商公告'],['[2020-11-23]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20280']
['GZQS2020HX11110M'],['大埔县教育局国家教育考试标准化考点身份验证设备（人脸识别）采购项目(项目编号：GZQS2020HX11110M)询价采购公告'],['[2020-11-23]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20344']
['GZQS2020HC11104SH'],['浈江区党员干部现代远程教育户外站点LED屏采购及安装项目竞争性磋商公告'],['[2020-11-23]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20277']
['441200-202011-90223-0091'],['肇庆市大型以上地质灾害隐患点专业监测项目 公开招标公告'],['[2020-11-23]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20276']
['GZQS2020HC11077M'],['广东龙川农村商业银行股份有限公司宣传手提袋采购项目磋商公告'],['[2020-11-23]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20366']
['GZQS2020HC11076M'],['广东龙川农村商业银行股份有限公司资产管理系统采购项目磋商公告'],['[2020-11-23]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20367']
['GZQS2020FC11099Z'],['广东省德庆林场2021年更新造林工程项目竞争性磋商公告'],['[2020-11-23]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20274']
['GZQS2020HG11013'],['广州市公安局增城区分局治安装备购置项目公开招标公告'],['[2020-11-23]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20272']
['GZQS2001FG09042'],['广州市公安局番禺区分局全区禁毒专业社工服务采购项目公开招标公告'],['[2020-11-23]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20269']
['GZQS2020HC11089Z'],['广宁县南街街道中心幼儿园教育器材、安保器材采购项目 竞争性磋商公告'],['[2020-11-23]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20375']
['GZQS2020FC11053'],['广州城市职业学院行政及教辅部门定职责定岗定员（简称“三定”）采购项目评选公告'],['[2020-11-23]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20267']
['GZQS2020HG11101Z'],['广东公共卫生与健康医学院窗帘采购项目公开招标公告'],['[2020-11-20]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20261']
['441226-202011-dq058-0014'],['德庆县应急管理局应急抢险物资采购项目（重招） 公开招标公告'],['[2020-11-20]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20260']
['GZQS2020HG11072Z'],['广东肇庆星湖生物科技股份有限公司升级改造嘌呤车间电缆采购项目公开招标公告'],['[2020-11-20]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20257']
['441226-202011-dq043-0001'],['德庆县金林水库一级水电站增效改造及二、三级水电站升级改造工程（机电设备及安装工程）公开招标公告'],['[2020-11-20]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20256']
['GZQS2001FG09007M'],['广州高新技术产业开发区民营科技园管理委员会城乡建设用地增减挂钩节余指标跨省域调剂建新方案编制项目（项目编号：GZQS2001FG09007M）公开招标公告'],['[2020-11-20]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20251']
['GZQS2001HG08017W'],['增城区增江街设备购置项目公开招标公告'],['[2020-11-20]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20249']
['440222-202011-209001-0013'],['始兴县教育局教师发展中心信息系统集成项目公开招标公告'],['[2020-11-20]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20248']
['GZQS2020FC11063'],['佛山市农村乱占耕地建房整治专项行动技术服务竞争性磋商公告'],['[2020-11-19]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20244']
['GZQS2020FC11068SH'],['韶关学院大塘校区2020-2021年垃圾清运服务项目竞争性磋商公告'],['[2020-11-19]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20243']
['GZQS2020FC11038W'],['广州市增城区第一中学教辅服务采购竞争性磋商公告'],['[2020-11-18]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20238']
['GZQS2020HC11054'],['广州市黄埔区科学城小学图书及接送系统采购项目竞争性磋商公告'],['[2020-11-18]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20239']
['GZQS2020HC11048'],['广州市黄埔区九佛中学饭堂食材配送采购项目磋商公告'],['[2020-11-18]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20236']
['GZQS2020FC11050'],['广州市黄埔区九佛中学饭堂服务外包采购项目磋商公告'],['[2020-11-18]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20235']
[''],['韶关市妇幼保健院新院区VIP病房、女性康复中心、技能培训中心等改造装修项目招标公告'],['[2020-11-18]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20234']
['GZQS2020FG11024S'],['三水区乐平镇居家养老服务采购项目公开招标公告'],['[2020-11-18]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20230']
['GZQS2020HG10073'],['广州市未成年强制隔离戒毒所学员个人购物商品配送服务公开招标公告'],['[2020-11-18]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20228']
['GZQS2020HC11042'],['中共广东省委党校（广东行政学院）床品采购项目竞争性磋商公告'],['[2020-11-18]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20225']
['GZQS2020HC11067SH'],['始兴县教育局教师发展中心网络与监控建设项目竞争性磋商公告'],['[2020-11-17]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20224']
['GZQS2020HC11049'],['广州城市职业学院消防器材采购项目竞争性磋商公告'],['[2020-11-17]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20223']
['GZQS2020FC11027SH'],['韶关市公安局新区分局平安城市设计服务项目竞争性磋商公告'],['[2020-11-17]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20222']
['GZQS2020HG11075S'],['省女子所戒毒人员食堂物资采购项目（项目编号：GZQS2020HG11075S）公开招标公告'],['[2020-11-17]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20220']
['GZQS2020FG10078'],['广东省供销集团冷链及农资项目造价咨询服务公开招标公告'],['[2020-11-17]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20216']
['GZQS2020GG11059SH'],['部队网络学习室配套建设项目信息工程公开招标公告'],['[2020-11-16]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20214']
['GZQS2020FC10059Z'],['2020年肇庆市高要区森林公园清理（森林公园总体规划）项目竞争性磋商公告'],['[2020-11-16]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20226']
['GZQS2020FD11057'],['夏园消防站2021年至2023年地块租赁项目单一来源公告'],['[2020-11-16]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20213']
['GZQS2020HX11062SH'],['广东省北江监狱工具柜、工具车采购项目询价公告'],['[2020-11-13]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20208']
['GZQS2020HC11055'],['广州市真光中学人工智能科技体验馆设备采购项目竞争性磋商公告'],['[2020-11-13]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20201']
['GZQS2020FG10076'],['九佛街绿化美化服务项目公开招标公告'],['[2020-11-13]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20200']
['GZQS2020HG10041X'],['乳源瑶族自治县人民医院疫情防控救治体系建设发热门诊设备采购项目子包2重招招标公告'],['[2020-11-12]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20199']
['GZQS2020GC11051Z'],['肇庆市高要区蛟塘镇新塘村水口经济合作社水口村文化楼建设工程竞争性磋商公告'],['[2020-11-12]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20198']
['GZQS2001HG07036SH'],['韶关农商银行股份有限公司网点路由器设备采购项目公开招标公告'],['[2020-11-12]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20197']
['GZQS2001HG07062SH'],['韶关农村商业银行股份有限公司网络线路采购项目公开招标公告'],['[2020-11-12]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20196']
['ZC2019（SS）ZX00366'],['佛山市三水区新综合档案馆配套项目（专用设备采购）招标公告'],['[2020-11-12]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20195']
['GZQS2020HX11052Z'],['封开县消防救援大队社区消防器材采购项目采购公告'],['[2020-11-12]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20247']
['GZQS2020FG10062'],['中心业务用房办公区绿植租摆服务项目公开招标公告'],['[2020-11-12]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20190']
['GZQS2020FY09087'],['黄埔区第四批示范社区建设项目（黄埔街）监理服务（立项编号：20204749000500027  项目编号：GZQS2020FY09087）遴选招标公告'],['[2020-11-12]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20189']
['GZQS2020FC10057'],['广州城市职业学院电梯维护保养及特种设备检验检测服务项目竞争性磋商公告'],['[2020-11-12]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20185']
['GZQS2020HT09092'],['揭阳市普宁广业环保有限公司在线COD、氨氮分析仪采购项目竞争性谈判公告'],['[2020-11-12]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20182']
['GZQS2020FG10019'],['广州海事局海巡船舶运行服务外包项目公开招标公告'],['[2020-11-12]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20181']
['GZQS2020FC10020'],['广州海事局岸上劳务服务外包项目竞争性磋商公告'],['[2020-11-12]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20180']
['GZQS2020HG11037M'],['丰顺县潭江镇三洲溪村分布式光伏发电扶贫项目（二期）公开招标公告'],['[2020-11-11]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20179']
['GZQS2020FC11035SH'],['始兴县教育局创新实验室建设项目竞争性磋商公告'],['[2020-11-11]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20177']
['GZQS2020HC11015SH'],['韶关市强制隔离戒毒2020年医疗设备采购项目竞争性磋商公告'],['[2020-11-11]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20176']
['GZQS2020HX11031SH'],['肇庆市高要区大湾镇中心小学教学平台设备采购项目采购公告'],['[2020-11-11]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20237']
['GZQS2001FC09074'],['照顾需求等级评估项目竞争性磋商公告'],['[2020-11-11]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20171']
['GZQS2001FC09073'],['居家养老服务评估项目竞争性磋商公告'],['[2020-11-11]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20170']
['GZQS2020FC10064HZ'],['化州市2020年下半年创森广告服务项目 竞争性磋商公告'],['[2020-11-10]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20169']
['GZQS2001HC08058W'],['广州市增城区新塘镇人民政府消防装备采购项目（第二次）竞争性磋商公告'],['[2020-11-10]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20168']
['GZQS2020FC09093Z'],['黑木相思优良无性系推广与示范项目（二次）竞争性磋商公告'],['[2020-11-10]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20167']
['GZQS2020HC10034'],['中华人民共和国天河出入境边防检查站5楼会议室音频设备（第二次）竞争性磋商公告'],['[2020-11-10]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20164']
['441283-202011-164-0023'],['2020年肇庆市高要区中小学、幼儿园骨干教师能力提升专项培训项目公开招标公告'],['[2020-11-09]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20161']
['GZQS2001FG8036'],['黄埔区水旱灾害防御应急抢险队公开招标公告'],['[2020-11-09]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20157']
['GZQS2020FC10068'],['广州打捞局局总部搬迁服务项目竞争性磋商公告'],['[2020-11-09]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20156']
['GZQS2020GC11005F'],['单车棚及阳台防护栏修建项目竞争性磋商公告'],['[2020-11-09]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20152']
['GZQS2020FX09080'],['黄埔区第四批示范社区建设项目（黄埔街）施工图审查服务 （项目编号：GZQS2020FX09080）比选公告'],['[2020-11-09]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20150']
['GZQS2020FC11010M'],['“粤菜师傅”培训基地展厅布展项目(采购编号：GZQS2020FC11010M)竞争性磋商公告'],['[2020-11-06]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20151']
['441200-202010-887895-0022'],['黑木相思优良无性系苗木繁育项目（二次）竞争性磋商公告'],['[2020-11-06]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20148']
['GZQS2020FG11023Z'],['广东肇庆星湖生物科技股份有限公司嘌呤及调味品车间自控系统采购项目公开招标公告'],['[2020-11-06]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20147']
['GZQS2020HG11022Z'],['广东肇庆星湖生物科技股份有限公司嘌呤及调味品车间配电柜采购项目公开招标公告'],['[2020-11-06]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20146']
['GZQS1901GC07005Z'],['七星岩大桥桥面美化铺设工程项目（二次）竞争性磋商公告'],['[2020-11-06]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20145']
['GZQS2020FC10065SH'],['乐昌产业转移工业园投资开发有限公司科技企业孵化器委托运营服务项目竞争性磋商公告'],['[2020-11-06]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20143']
['GZQS2020FC10071X'],['广州市生态环境局2020年大气污染物现场监测执法设备购置项目竞争性磋商公告'],['[2020-11-06]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20141']
['GZQS2020FD09088'],['综改2020-2021年工作协议采购专业服务项目单一来源公告'],['[2020-11-06]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20140']
['GZQS2020HC11003'],['佛山市自然资源局网上信访信息系统“业务流程再造”升级改造项目竞争性磋商公告'],['[2020-11-06]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20139']
['GZQS2020HG11021X'],['乳源瑶族自治县人民医院重大疫情防控救治体系建设项目医疗设备采购公开招标公告'],['[2020-11-05]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20138']
['GZQS2020GG11006M'],['梅州农村商业银行股份有限公司丙村金盘支行拆旧新建装修项目(项目编号：GZQS2020GG11006M)公开招标公告'],['[2020-11-05]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20203']
['QSHG202000293'],['知识城党群（政务）服务中心设备设施及展览展示内容制作服务项目公开招标公告'],['[2020-11-05]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20136']
['GZQS2020HX11017Z'],['德庆县莫村镇中心小学智能交互式触屏一体机设备采购项目 采购公告'],['[2020-11-05]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20207']
['GZQS2020HX11007M'],['嘉应学院医学院附属医院检验科PCR设备采购项目询价采购公告'],['[2020-11-05]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20166']
['GZQS2020FG10038'],['广州空港经济区规划审批技术审查服务公开招标公告'],['[2020-11-05]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=20133']
